web.forms.page.filling.geopoint.error.geolocation.not.supported,"La geolocalización no es compatible con este navegador.","Error message that appears when a geopoint field is shown in a browser that does not support location services.",,,"Geolocation is not supported by this browser."
web.forms.page.filling.geopoint.error.not.available,"La información de ubicación no está disponible.","Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).",,,"Location information is not available."
web.forms.page.filling.geopoint.error.permission.denied,"No se puede identificar la ubicación (permiso denegado). Es posible que deba cambiar la configuración de seguridad de su navegador para permitir que este sitio web acceda a su ubicación.","Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.",,,"Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location."
web.forms.page.filling.geopoint.error.request.timeout,"Se agotó la petición para conseguir la localización del usuario.","Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.",,,"The request to get user location timed out."
web.forms.page.filling.geopoint.error.unknown,"Se produjo un error desconocido.","Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.",,,"An unknown error occurred."
web.forms.page.filling.geopoint.latitude,Latitud,"This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.",,,Latitude
web.forms.page.filling.geopoint.longitude,Longitud,"This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.",,,Longitude
web.forms.page.filling.geopoint.record.location.button,"Registrar ubicación","The primary button label in a geo field before you've recorded a location.",,,"Record location"
web.forms.page.filling.geopoint.replace.location.button,"Reemplazar ubicación","This is the button label once you've recorded a location in a geo field.",,,"Replace location"
web.forms.page.filling.go.to.button,"Ir a","The label for the 'go to' button.",,,"Go to"
web.forms.page.filling.go.to.UI.close,Cerrar,"The label for the red button in the 'go to' screen used to exit the 'go to' screen.",,,Close
web.forms.page.filling.go.to.UI.go.there,"Ir allí","The label for the button next to each field in the 'go to' screen.",,,"Go there"
web.forms.page.filling.go.to.UI.go.to.end,"Ir al final","The button label in the 'go to' screen for progressing to the end of the form.",,,"Go to end"
web.forms.page.filling.go.to.UI.go.to.start,"Ir al inicio","The button label in the 'go to' screen for returning to the beginning of the form. ",,,"Go to start"
web.forms.page.filling.go.to.UI.go.up,"Ir más arriba","The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.",,,"Go up"
web.forms.page.filling.go.to.UI.resume,Reanudar,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,Resume
web.forms.page.filling.image.annotate.hint,"Por favor, suba una imagen anotada.","This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form. ",,,"Please upload an annotated image."
web.forms.page.filling.image.draw.hint,"Por favor, suba una imagen dibujada.","This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form. ",,,"Please upload a drawn image."
web.forms.page.filling.image.select.file.button,"Seleccionar imagen","Button label in an image field for selecting an existing image. ",,,"Select image"
web.forms.page.filling.image.signature.hint,"Por favor, suba un archivo con su firma.","This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form. ",,,"Please upload a file with your signature."
web.forms.page.filling.image.take.picture.button,"Tomar foto","Button label in an image field for taking a new picture.",,,"Take picture"
web.forms.page.filling.input.field.placeholder.label,"Su respuesta aquí ...","This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,,"Your answer here..."
web.forms.page.filling.integer.error.not.integer,"Por favor, introduzca sólo un número entero.","The error message when you try to enter a non-integer into an integer field.",,,"Please enter an integer only."
web.forms.page.filling.last.screen.hint,"Haga clic en el botón de abajo para enviar este formulario tal y como está rellenado actualmente.","This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.",,,"Click the button below to submit this form as it is currently filled out."
web.forms.page.filling.last.screen.mark.finalized.checkbox,"Marcar formulario como finalizado","The checkbox label when a logged-in user reaches the end of a form.",,,"Mark form as finalized"
web.forms.page.filling.last.screen.name.label,"Nombrar este formulario","The input box label when a logged-in user reaches the end of a form.",,,"Name this form"
web.forms.page.filling.last.screen.save.exit.button,"Guardar formulario y salir","The button label for logged-in users when they reach the end of a form. ",,,"Save Form and Exit"
web.forms.page.filling.last.screen.submit.button,"Enviar formulario","The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form. ",,,"Submit Form"
web.forms.page.filling.last.screen.title,"Está al final de {0}","This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.",,,"You are at the end of {0}"
web.forms.page.filling.login.panel.loggedin.as,"Actualmente está conectado como","This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,,"You are currently logged in as"
web.forms.page.filling.login.panel.login.and.continue.btn,"Iniciar sesión y continuar","The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).",,,"Log in and continue"
web.forms.page.filling.login.panel.login.btn,"Iniciar sesión",,,,"Log in"
web.forms.page.filling.login.panel.logout.btn,"Cerrar sesión","The button label in the user dropdown menu in the top right for logged-in users. ",,,"Log out"
web.forms.page.filling.login.panel.not.loggedin.long,"No está conectado actualmente","This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).",,,"You are not currently logged in"
web.forms.page.filling.login.panel.not.loggedin.short,"No conectado","This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).",,,"Not logged in"
web.forms.page.filling.menu.add.comment,"Añadir comentario","If your form contains a comments field, this is the menu option label to leave a comment. ",,,"Add comment"
web.forms.page.filling.menu.appearance,Apariencia,"This is the dropdown menu label to change the appearance style (only available to logged-in users).",,,Appearance
web.forms.page.filling.menu.appearance.default,Defecto,"Label in the Appearance dropdown menu for the 'default' appearance style.",,,Default
web.forms.page.filling.menu.appearance.small,Pequeño,"Label in the Appearance dropdown menu for the 'small' appearance style.",,,Small
web.forms.page.filling.menu.appearance.small.wide,"Pequeño amplio","Label in the Appearance dropdown menu for the 'small wide' appearance style.",,,"Small wide"
web.forms.page.filling.menu.appearance.wide,Amplio,"Label in the Appearance dropdown menu for the 'wide' appearance style.",,,Wide
web.forms.page.filling.menu.clear.responses,"Borrar respuestas","The option in the 'options' dropdown menu to remove your response from the current field. ",,,"Clear responses"
web.forms.page.filling.menu.exit.to.main.menu,"Salir al menú principal","Logged-in users will see this option in the 'options' dropdown menu.",,,"Exit to main menu"
web.forms.page.filling.menu.options,Opciones,"The label for the 'options' dropdown menu.",,,Options
web.forms.page.filling.menu.remove.current.repeat.instance,"Eliminar la repetición actual","In a repeat group, this option will be available in the 'options' dropdown menu.",,,"Remove current repeat instance"
web.forms.page.filling.menu.save.form,"Guardar formulario","Logged-in users will see this option in the toolbar.",,,"Save form"
web.forms.page.filling.menu.skip.to.next,"Saltar al siguiente","Logged-in users will see this option in the 'options' dropdown menu.",,,"Skip to next"
web.forms.page.filling.menu.start.over,"Empezar de nuevo","This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.",,,"Start over"
web.forms.page.filling.menu.validate.form,"Validar formulario","Logged-in users will see this option in the 'options' dropdown menu.",,,"Validate form"
web.forms.page.filling.nav.end,"Ir al final","The tooltip that appears when you hover over the circle 'go to end' button.",,,"Go to end"
web.forms.page.filling.nav.next,Siguiente,"The tooltip that appears when you hover over the circle 'next' button.",,,Next
web.forms.page.filling.nav.previous,Anterior,"The tooltip that appears when you hover over the circle  'previous' button.",,,Previous
web.forms.page.filling.nav.start,"Ir al inicio","The tooltip that appears when you hover over the circle 'go to start' button. ",,,"Go to start"
web.forms.page.filling.next.button,Siguiente,"The button label for the blue 'next' button at the bottom right. ",,,Next
web.forms.page.filling.numerical.error.not.numeric,"Por favor, introduzca sólo un número.","Error message that appears when the user is prompted for a decimal value and enters something invalid.",,,"Please enter a number only."
web.forms.page.filling.popups.add.comment.intro,"Por favor, escriba su comentario en el campo de abajo:","This is the field label in the pop-up to add a comment.",,,"Please type your comment in the field below:"
web.forms.page.filling.popups.add.comment.save.button,"Guardar comentario","This is the button label in the pop-up to save a comment.",,,"Save comment"
web.forms.page.filling.popups.add.comment.title,"Añadir comentario","This is the title of the pop-up to add a comment.",,,"Add comment"
web.forms.page.filling.popups.add.new.group.message,"¿Añadir nuevo grupo ""{0}""?","{0} gets replaced with the repeat group label and must be included in your translation.",,,"Add a new ""{0}"" group?"
web.forms.page.filling.popups.add.new.group.negative.button,"No añade","The button label to not add a new group in the 'add new group' pop-up for repeat groups.",,,"Do not add"
web.forms.page.filling.popups.add.new.group.positive.button,"Añadir grupo","The button label to add a new group in the 'add new group' pop-up for repeat groups.",,,"Add group"
web.forms.page.filling.popups.add.new.group.title,"¿Añadir nuevo grupo?","The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).",,,"Add new group?"
web.forms.page.filling.popups.add.one.more.group.message,"¿Añadir otro grupo ""{0}""?","This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.",,,"Add another ""{0}"" group?"
web.forms.page.filling.popups.add.one.more.group.title,"¿Añadir un grupo más?","The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.",,,"Add one more group?"
web.forms.page.filling.popups.cancel.button,Cancelar,"Generic button label for all 'cancel' buttons in pop-ups.",,,Cancel
web.forms.page.filling.popups.capture.media.done.button,Hecho,"The button label to save the current snapshot in the 'capture media' pop-up.",,,Done
web.forms.page.filling.popups.capture.media.take.button,"Tomar foto","The button label to take a picture in the 'capture media' pop-up.",,,"Take snapshot"
web.forms.page.filling.popups.capture.media.title,"Capturar medios","The title of the 'capture media' pop-up.",,,"Capture media"
web.forms.page.filling.popups.clear.responses.prompt.button,"Borrar todas las respuestas","The button label to clear all responses in the confirmation pop-up when you attempt to clear responses. ",,,"Clear all responses"
web.forms.page.filling.popups.clear.responses.prompt.message,"¿Borrar todas las respuestas en la página actual?","The message in the confirmation pop-up when you attempt to clear responses. ",,,"Clear all responses on this current page?"
web.forms.page.filling.popups.clear.responses.prompt.title,Confirmar,"The title of the confirmation pop-up when you attempt to clear responses. ",,,Confirm
web.forms.page.filling.popups.close.button,Cerrar,"Generic button label for all 'close' buttons in pop-ups.",,,Close
web.forms.page.filling.popups.confirm.discard.prompt.button,"¡Sí estoy seguro!","This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.",,,"Yes, I'm sure!"
web.forms.page.filling.popups.confirm.discard.prompt.message,"Esto descartará cualquier dato nuevo que haya introducido. ¿Está seguro?","This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.",,,"This will discard any new data that you have entered. Are you sure?"
web.forms.page.filling.popups.confirm.discard.prompt.title,"Confirmar salida","This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.",,,"Confirm exit"
web.forms.page.filling.popups.confirm.title,Confirmar,"Generic pop-up title for confirmation pop-ups.",,,Confirm
web.forms.page.filling.popups.error.title,Error,"Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.",,,Error
web.forms.page.filling.popups.exit.form.prompt.message,"¿Desea guardar su formulario antes de salir o descartar todos los cambios que haya realizado?","This is the message in the pop-up when logged-in users attempt to exit to main menu.",,,"Do you want to save your form before exiting, or discard all changes that you've made?"
web.forms.page.filling.popups.exit.form.prompt.negative.button,"Descartar cambios","This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.",,,"Discard Changes"
web.forms.page.filling.popups.exit.form.prompt.positive.button,"Guardar cambios","This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.",,,"Save Changes"
web.forms.page.filling.popups.exit.form.prompt.title,"Confirmar salida","This is the title of the pop-up when logged-in users attempt to exit to main menu.",,,"Confirm exit"
web.forms.page.filling.popups.form.saved.confirmation.message,"¡Formulario guardado con éxito!","This is the message in the confirmation pop-up when a logged-in user saves their form successfully.",,,"Form successfully saved!"
web.forms.page.filling.popups.form.validated.confirmation.message,"¡Validación exitosa!","This is the message in the confirmation pop-up when a logged-in user validates their form successfully.",,,"Validation succeeded!"
web.forms.page.filling.popups.form.validated.go.to.end.button,"Ir al final","This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.",,,"Go to end"
web.forms.page.filling.popups.remove.instance.prompt.button,"Si, elimínala","This is the button label in the confirmation pop-up when you try to remove the current repeat instance.",,,"Yes, remove it"
web.forms.page.filling.popups.remove.instance.prompt.message,"Confirmar eliminación de grupo","This is the title of the confirmation pop-up when you try to remove the current repeat instance.",,,"Confirm group removal"
web.forms.page.filling.popups.remove.instance.prompt.title,"¿Eliminar el grupo ""{0}"" y todos sus subgrupos?","This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.",,,"Remove group ""{0}"" and all of its sub-groups?"
web.forms.page.filling.popups.resume.prompt.message,"Ya ha empezado a completar este formulario y lo actualizó por última vez el {0}. ¿Reanudar desde donde lo dejaste, o descartar esa versión y empezar de nuevo? (Si elige empezar de nuevo, la versión anterior se descartará y no se podrá deshacer).","This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.",,,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)"
web.forms.page.filling.popups.resume.prompt.negative.button,Descartar,"This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ",,,Discard
web.forms.page.filling.popups.resume.prompt.positive.button,Reanudar,"This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ",,,Resume
web.forms.page.filling.popups.resume.prompt.title,"Formulario sin terminar encontrado","This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ",,,"Un-finished form found"
web.forms.page.filling.popups.resume.different.caseid.negative.button,"Reanudar {0}","The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.",,,"Resume {0}"
web.forms.page.filling.popups.resume.different.caseid.positive.button,"Empezar {0}","The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.",,,"Start {0}"
web.forms.page.filling.popups.resume.different.caseid.title,Advertencia,"The title of the pop-up message prompting which case ID to use.",,,Warning
web.forms.page.filling.popups.start.over.prompt.button,"Descartar cambios","This is the button label to discard changes in the pop-up when you attempt to start over.",,,"Discard Changes"
web.forms.page.filling.popups.start.over.prompt.message,"¿Descartar todos los cambios y comenzar de nuevo con un formulario en blanco?","This is the message in the pop-up when you attempt to start over.",,,"Discard all changes and start over with a blank form?"
web.forms.page.filling.popups.start.over.prompt.title,"Confirmar salida","This is the title of the pop-up when you attempt to start over.",,,"Confirm exit"
web.forms.page.filling.popups.success.title,Éxito,"Generic title of 'success' type pop-ups.",,,Success
web.forms.page.filling.popups.warning.title,Advertencia,"Generic title of 'warning' type pop-ups. ",,,Warning
web.forms.page.filling.repeat.table.add.row.button,"Añadir fila",,,,"Add row"
web.forms.page.filling.repeat.table.back.level.button,"Retroceder un nivel","Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.",,,"Back one level"
web.forms.page.filling.repeat.table.label,Resumen,"The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.",,,Summary
web.forms.page.filling.select1.minimal.label,"Seleccionar una respuesta","The first option in the dropdown in a select_one field with the 'minimal' appearance.",,,"Select one answer"
web.forms.page.filling.selectx.minimal.remove.response.button.label,"Eliminar respuesta","The button label to remove responses in a select_multiple field with the 'minimal' appearance.",,,"Remove response"
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Lo sentimos, solo puede introducir dígitos numéricos, símbolos menos (-), símbolos más (+), comas (,), puntos (.), y espacios ( ).","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,"Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( )."
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Lo sentimos, solo puede introducir dígitos de teléfono, símbolos menos (-), símbolos más (+), puntos (.), hashtags (#), asteriscos (*), y espacios ( ).","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,"Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( )."
web.forms.page.filling.text.error.url.appearance.blank,"No se ha colocado URL.","Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,"No url is set."
web.forms.page.filling.text.url.appearance.button,"Abrir URL",,,,"Open Url"
web.forms.page.filling.thankyou.not.submitted.text,"¡Gracias! Ningún dato fue enviado.","The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.",,,"Thank you! No data was submitted."
web.forms.page.filling.thankyou.not.submitted.title,"El formulario no fue enviado","The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.",,,"Form was not submitted"
web.forms.page.filling.thankyou.submitted.text,"¡Gracias! Su formulario ha sido enviado con éxito.","The message after you submit a form.",,,"Thank you! Your form has been successfully submitted."
web.forms.page.filling.thankyou.submitted.title,"Formulario enviado con éxito","The title after you submit a form.",,,"Form successfully submitted"
web.forms.page.filling.unknown.field.type.error.not.supported,"El tipo del campo '{0}' no se puede mostrar en la interfaz web, por lo que se utilizará un campo de texto.","Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.",,,"The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead."
web.forms.page.filling.video.select.file.button,"Seleccionar archivo de video","The button label in a 'video' field type.",,,"Select video file"
web.forms.page.forms.header,"Elegir un formulario en blanco para completar:","The heading text at the top of the 'fill blank form' page.",,,"Choose a blank form to fill out:"
web.forms.page.forms.title,"Rellenar formulario en blanco","The page title of the 'fill blank form' page.",,,"Fill blank form"
web.forms.page.main.download.app.button,"Descargar aplicación","The button label on the main menu page.",,,"Download app"
web.forms.page.main.edit.saved.form.button,"Editar formulario guardado","The button label on the main menu page (only available to logged-in users).",,,"Edit saved form"
web.forms.page.main.fill.blank.form.button,"Rellenar formulario en blanco","The button label on the main menu page for logged-in users to get to the 'fill blank form' page.",,,"Fill blank form"
web.forms.page.main.manage.cases.button,"Administrar casos","The button label on the main menu page (only available to logged-in users).",,,"Manage cases"
web.forms.page.main.sub.title,"Recopilación de datos segura y de alta calidad.","The page subheading on the main menu page (only visible to logged-in users).",,,"Secure, high quality data collection"
web.forms.page.main.title,"Menú principal","The page title of the main menu page (only visible to logged-in users).",,,"Main menu"
web.forms.page.shared.form.delete.button,Eliminar,"The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).",,,Delete
web.forms.page.shared.form.fill.out,Rellenar,"The button label for filling out a form from any of the main menu sub-pages.",,,"Fill out"
web.forms.page.shared.form.resume.button,Reanudar,"The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).",,,Resume
web.forms.page.shared.form.title,Título,,,,Title
web.forms.page.shared.no.forms.msg,"No hay ejemplos.","The message when there are no saved forms on any of the main menu pages (only available to logged-in users).",,,"There are no instances."
web.forms.page.shared.return.to.main.page.button,"Volver al menú principal","The button label for returning to the main menu when you are on any of the main menu sub-pages.",,,"Return to main menu"
web.forms.page.filling.date.months.april,Abril,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,April
web.forms.page.filling.date.months.august,Agosto,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,August
web.forms.page.filling.date.months.december,Diciembre,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,December
web.forms.page.filling.date.months.february,Febrero,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,February
web.forms.page.filling.date.months.january,Enero,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,January
web.forms.page.filling.date.months.july,Julio,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,July
web.forms.page.filling.date.months.june,Junio,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,June
web.forms.page.filling.date.months.march,Marzo,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,March
web.forms.page.filling.date.months.may,Mayo,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,May
web.forms.page.filling.date.months.november,Noviembre,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,November
web.forms.page.filling.date.months.october,Octubre,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,October
web.forms.page.filling.date.months.september,Septiembre,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,September
web.forms.page.filling.error.not.supported.web,"Lo sentimos, hubo un error al mostrar este campo. La siguiente función no se admite en formularios web: {0}. El campo actual puede estar usando una apariencia alternativa para permitirle continuar llenando este formulario. Para un resultado óptimo, utilice SurveyCTO Collect en un dispositivo Android para rellenar este formulario.","This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,,"Sorry, there was an error displaying this field. The following feature is not supported in web forms: {0}. The current field may be using a fallback appearance to allow you to continue filling out this form. For best results, use SurveyCTO Collect on an Android device to fill this form out."
web.forms.page.filling.popups.resume.different.caseid.message,"Está a punto de empezar un nuevo formulario para el ID de caso ""{0}"". Hemos notado que no ha terminado de completar el formulario para el ID de caso ""{1}"". ¿Desea continuar llenando ese formulario o empezar uno nuevo?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,,"You are about to start a new form for case ID ""{0}"". We noticed that you haven't finished filling out the form for case ID ""{1}"". Do you want to resume filling out that form, or start a new one?"
web.forms.page.shared.form.last.saved,"Guardado por última vez","The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).",,,"Last saved"
web.forms.page.shared.form.name,Nombre,"The label preceding the form name on all of the main menu sub-pages for logged-in users.",,,Name
web.forms.page.shared.form.id,ID,"The label preceding the form ID on all of the main menu sub-pages.",,,ID
web.forms.page.shared.form.version,Versión,"The label preceding the form version on all the main menu sub-pages.",,,Version
web.forms.page.main.delete.saved.form.button,"Eliminar formulario guardado","The button label on the main menu page (only available to logged-in users).",,,"Delete saved form"
web.forms.page.login.fill.web.data.collection.disabled.text,"(La recolección de datos en la web no ha sido habilitada para este servidor, por lo que debe utilizar la aplicación móvil para recolectar datos.)","Warning that appears when you access the login page but an admin has disabled web data collection.",,,"(Web data collection has not been enabled for this server, so you must use the mobile app to collect data.)"
web.forms.page.login.go.back.to.console.link,"Cliquear aquí para conectarse al servidor de consola.","Link for returning to the server console.",,,"Click here to login to the server console."
web.forms.page.login.fill.web.forms.anonymously.button,"Rellenar formularios web de forma anónima","The button label for filling web forms anonymously.",,,"Fill web forms anonymously"
web.forms.page.login.or.text,O,"This text separates the different form access options on the login page (fill forms anonymously, log in, or download the mobile app). Please note: this text will always be rendered in uppercase letters. ",,,Or
web.forms.page.login.servername.input,"Nombre de servidor:","The label for the server name input on the login page.",,,"Server name:"
web.forms.page.login.username.input,"Correo electrónico o nombre de usuario:","The label for the username input on the login page.",,,"Email address or username:"
web.forms.page.login.username.placeholder,"Su correo electrónico o nombre de usuario","This is the placeholder for the username input on the login page.",,,"Your email or username"
web.forms.page.login.password.input,Contraseña:,"The label for the password input on the login page.",,,Password:
web.forms.page.login.password.placeholder,"Su contraseña","This is the placeholder for the password input on the login page.",,,"Your password"
web.forms.page.login.back.button,Atrás,"The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Back
web.forms.page.login.next.button,Siguiente,"The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Next
web.forms.page.login.login.button,"Iniciar sesión","The button label for logging in.",,,"Log in"
web.forms.page.login.terms.conditions.link,Condiciones,"The label for the terms and conditions link.",,,"Terms and conditions"
web.forms.page.login.brought.to.you.by.text,"Proporcionado por","Dobility branding. Appears only on the login page.",,,"Brought to you by"
web.forms.page.login.no.cookies.error,"Parece que ha desactivado el soporte para ""cookies"" en la configuración de privacidad de su navegador de Internet, pero SurveyCTO requiere cookies para funcionar. Por lo tanto, es poco probable que pueda iniciar sesión hasta que habilite los cookies y actualice esta página.","Error message that appears when you try to log in with cookies disabled.",,,"It looks like you have disabled ""cookie"" support in your Internet browser's privacy settings, but SurveyCTO requires cookies to function. Therefore, you are unlikely to be able to login until you enable cookies and refresh this page."
web.forms.page.login.authentication.options.error,"Lo sentimos, pero no pudimos identificar las opciones de autenticación para '{0}'.","Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.",,,"I'm sorry but we couldn't identify authentication options for '{0}'."
