Term,Translation,Context,Reference,Comment
web.forms.page.filling.date.months.may,Μάιος,,,
web.forms.page.filling.date.months.november,Νοέμβριος,,,
web.forms.page.filling.date.months.october,Οκτώμβριος,,,
web.forms.page.filling.date.months.september,Σεπτέβριος,,,
web.forms.page.filling.file.current.selection.label,Τρέχουσα επιλογή,,,
web.forms.page.filling.file.select.different.button,Επιλέξτε ένα διαφορετικό αρχείο,,,
web.forms.page.filling.file.select.file.button,Επιλέξτε αρχείο,,,
web.forms.page.filling.geopoint.accuracy,Ακρίβεια,,,
web.forms.page.filling.geopoint.altitude,Υψόμετρο,,,
web.forms.page.filling.geopoint.error.geolocation.not.supported,Η γεωγραφική τοποθεσία δεν υποστηρίζεται από αυτό το πρόγραμμα περιήγησης.,,,
web.forms.page.filling.geopoint.error.not.available,Οι πληροφορίες τοποθεσίας δεν είναι διαθέσιμες.,,,
web.forms.page.filling.geopoint.error.permission.denied,Δεν είναι δυνατή η αναγνώριση της τοποθεσίας (απορρίφθηκε η άδεια). Ίσως χρειαστεί να αλλάξετε τις ρυθμίσεις ασφαλείας του προγράμματος περιήγησής σας για να επιτρέψετε σε αυτόν τον ιστότοπο να έχει πρόσβαση στην τοποθεσία σας.,,,
web.forms.page.filling.geopoint.error.request.timeout,Το χρονικό όριο του αιτήματος λήψης τοποθεσίας έληξε.,,,
web.forms.page.filling.geopoint.error.unknown,Συνέβη ένα άγνωστο σφάλμα.,,,
web.forms.page.filling.geopoint.latitude,Γεωγραφικό πλάτος,,,
web.forms.page.filling.geopoint.longitude,Γεωγραφικό μήκος,,,
web.forms.page.filling.geopoint.record.location.button,Εγγραφή της τοποθεσίας,,,
web.forms.page.filling.geopoint.replace.location.button,"Αντικαταστήστε την ""τοποθεσία""",,,
web.forms.page.filling.geoshape.error.not.supported,"Αυτός ο τύπος πεδίου δεν υποστηρίζεται στη διεπαφή ιστού, επομένως θα πρέπει να χρησιμοποιήσετε το SurveyCTO Collect σε μια συσκευή Android για να το συμπληρώσετε σωστά. Εδώ, θα μπορείτε να επιλέξετε μόνο μία θέση GPS.",,,
web.forms.page.filling.geotrace.error.not.supported,"Αυτός ο τύπος πεδίου δεν υποστηρίζεται στη διεπαφή ιστού, επομένως θα πρέπει να χρησιμοποιήσετε το SurveyCTO Collect σε μια συσκευή Android για να το συμπληρώσετε σωστά. Εδώ, θα μπορείτε να επιλέξετε μόνο μία θέση GPS.",,,
web.forms.page.filling.go.to.UI.close,Κλείσιμο,,,
web.forms.page.filling.go.to.UI.go.there,Μετάβαση εκεί,,,
web.forms.page.filling.go.to.UI.go.to.end,Μετάβαση στο τέλος,,,
web.forms.page.filling.go.to.UI.go.to.start,Μετάβαση στην αρχή,,,
web.forms.page.filling.go.to.UI.go.up,Μετάβαση επάνω,,,
web.forms.page.filling.go.to.UI.resume,Συνέχιση,,,
web.forms.page.filling.go.to.button,Μεταβαση σε...,,,
web.forms.page.filling.image.align.not.supported,"Η εμφάνιση «align» δεν υποστηρίζεται. Αντίθετα, ανεβάστε ένα αρχείο.",,,
web.forms.page.filling.image.annotate.hint,Ανεβάστε μια σχολιασμένη εικόνα.,,,
web.forms.page.filling.image.draw.hint,Ανεβάστε μια ζωγραφισμένη εικόνα.,,,
web.forms.page.filling.image.select.file.button,Επιλέξτε εικόνα,,,
web.forms.page.filling.image.signature.hint,Ανεβάστε ένα αρχείο με την υπογραφή σας.,,,
web.forms.page.filling.image.take.picture.button,Τραβήξετε φωτογραφία,,,
web.forms.page.filling.image.web.not.supported,"Η εμφάνιση «web» δεν υποστηρίζεται. Αντίθετα, ανεβάστε ένα αρχείο.",,,
web.forms.page.filling.input.field.placeholder.label,Η απάντησή σας εδώ ...,,,
web.forms.page.filling.menu.add.comment,Προσθήκη σχολίου,,,
web.forms.page.filling.menu.appearance,Εμφάνιση,,,
web.forms.page.filling.menu.appearance.default,Προεπιλεγμένη,,,
web.forms.page.filling.menu.appearance.small,Μικρή,,,
web.forms.page.filling.menu.appearance.small.wide,Μικρή ευρεία,,,
web.forms.page.filling.menu.appearance.wide,Ευρεία,,,
web.forms.page.filling.menu.change.language,Αλλαγή γλώσσας,,,
web.forms.page.filling.menu.clear.responses,Εκκαθάριση απαντήσεων,,,
web.forms.page.filling.menu.exit.to.main.menu,Έξοδος στο αρχικό μενού,,,
web.forms.page.filling.menu.options,Επιλογές,,,
web.forms.page.filling.menu.remove.current.repeat.instance,Διαγραφή του τρέχοντος περιστατικού,,,
web.forms.page.filling.menu.save.form,Αποθήκευση φόρμας,,,
web.forms.page.filling.menu.skip.to.next,Μεταπήδηση στη επόμενη ερώτηση,,,
web.forms.page.filling.menu.start.over,Επανεκκίνηση,,,
web.forms.page.filling.menu.validate.form,Επικύρωση φόρμας,,,
web.forms.page.filling.nav.end,Μετάβαση στο τέλος,,,
web.forms.page.filling.nav.next,Επόμενο,,,
web.forms.page.filling.nav.previous,Προηγούμενο,,,
web.forms.page.filling.nav.start,Μετάβαση στην αρχή,,,
web.forms.page.filling.next.button,Επόμενο,,,
web.forms.page.filling.numerical.error.large.file,Εισαγάγετε μόνο έναν αριθμό.,,,
web.forms.page.filling.popups.add.comment.intro,Πληκτρολογήστε το σχόλιό σας στο παρακάτω πεδίο:,,,
web.forms.page.filling.popups.add.comment.save.button,Αποθήκευση σχολίου,,,
web.forms.page.filling.popups.add.comment.title,Προσθήκη σχολίου,,,
web.forms.page.filling.popups.add.new.group.message,"Προσθήκη νέας ομάδας ""{0}"";",,,
web.forms.page.filling.popups.add.new.group.negative.button,Μη προσθήκη,,,
web.forms.page.filling.popups.add.new.group.positive.button,Προσθήκη ομάδας,,,
web.forms.page.filling.popups.add.new.group.title,Προσθήκη νέας ομάδας;,,,
web.forms.page.filling.popups.add.one.more.group.message,"Προσθήκη άλλη μία ομάδα ""{0}"";",,,
web.forms.page.filling.popups.add.one.more.group.title,Προσθήκη μίας ακόμη ομάδας;,,,
web.forms.page.filling.popups.cancel.button,Ακύρωση,,,
web.forms.page.filling.popups.capture.media.done.button,Τέλος,,,
web.forms.page.filling.popups.capture.media.take.button,Τραβήξτε στιγμιότυπο,,,
web.forms.page.filling.popups.capture.media.title,Λήψη μέσων,,,
web.forms.page.filling.popups.clear.responses.prompt.button,Εκκαθάριση όλων των απαντήσεων,,,
web.forms.page.filling.popups.clear.responses.prompt.message,Διαγραφή όλων των απαντήσεων σε αυτήν την τρέχουσα σελίδα;,,,
web.forms.page.filling.popups.clear.responses.prompt.title,Επιβεβαίωση,,,
web.forms.page.filling.popups.close.button,Κλείσιμο,,,
web.forms.page.filling.popups.confirm.discard.prompt.button,Ναι είμαι σίγουρος!,,,
web.forms.page.filling.popups.confirm.discard.prompt.message,Αυτό θα απορρίψει τυχόν νέα δεδομένα που έχετε εισαγάγει. Είσαι σίγουρος?,,,
web.forms.page.filling.popups.confirm.discard.prompt.title,Επιβεβαίωση εξόδου,,,
web.forms.page.filling.popups.confirm.title,Επιβεβαίωση,,,
web.forms.page.filling.popups.error.title,Σφάλμα,,,
web.forms.page.filling.popups.exit.form.prompt.message,Θέλετε να αποθηκεύσετε τη φόρμα σας πριν από την έξοδο ή να απορρίψετε όλες τις αλλαγές που έχετε κάνει;,,,
web.forms.page.filling.popups.exit.form.prompt.negative.button,Απορρίψετε τις αλλαγές,,,
web.forms.page.filling.popups.exit.form.prompt.positive.button,Αποθήκευσε τις αλλαγές,,,
web.forms.page.filling.popups.exit.form.prompt.title,Επιβεβαίωση εξόδου,,,
web.forms.page.filling.popups.form.saved.confirmation.message,Η φόρμα αποθηκεύτηκε με επιτυχία!,,,
web.forms.page.filling.popups.form.validated.confirmation.message,Η επικύρωση είναι επιτυχής!,,,
web.forms.page.filling.popups.form.validated.go.to.end.button,Μετάβαση στο τέλος,,,
web.forms.page.filling.popups.remove.instance.prompt.button,"Ναι, διεγραψέ την",,,
web.forms.page.filling.popups.remove.instance.prompt.message,Επιβεβαίωση διαγραφής ομάδας,,,
web.forms.page.filling.popups.remove.instance.prompt.title,"Διαγραφή ομάδας ""{0}"" και όλων των υποομάδων της;",,,
web.forms.page.filling.popups.resume.prompt.message,"Έχετε ήδη ξεκινήσει τη συμπλήρωση αυτής της φόρμας και την ενημερώσατε τελευταία φορά στις {0}. Συνέχιση από το σημείο που σταματήσατε ή απορρίψτε αυτήν την έκδοση και ξεκινήστε ξανά; (Εάν επιλέξετε να ξεκινήσετε ξανά, η παλιά έκδοση θα απορριφθεί και δεν υπάρχει αναίρεση.)",,,
web.forms.page.filling.popups.resume.prompt.negative.button,Απόρριψη,,,
web.forms.page.filling.popups.resume.prompt.positive.button,Συνέχιση,,,
web.forms.page.filling.popups.resume.prompt.title,Βρέθηκε μη ολοκληρωμένη φόρμα,,,
web.forms.page.filling.popups.start.over.prompt.button,Απορρίψετε τις αλλαγές,,,
web.forms.page.filling.popups.start.over.prompt.message,Απορρίψτε όλες τις αλλαγές και ξεκινήστε ξανά με μια κενή φόρμα;,,,
web.forms.page.filling.popups.start.over.prompt.title,Επιβεβαίωση εξόδου,,,
web.forms.page.filling.popups.success.title,Επιτυχία,,,
web.forms.page.filling.popups.warning.title,Προειδοποίηση,,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,Καθάρισμα επιλογής,,,
web.forms.page.filling.select1.minimal.label,Επιλέξτε μια απάντηση,,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Δυστυχώς, μπορείτε να εισαγάγετε μόνο αριθμητικά ψηφία, -, +, κόμματα, τελείες και κενά.",,,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Δυστυχώς, μπορείτε να εισαγάγετε μόνο ψηφία τηλεφώνου, -, +, κουκκίδες, hashtags, αστερίσκους και κενά.",,,
web.forms.page.filling.text.error.url.appearance.blank,Δεν έχει οριστεί διεύθυνση URL.,,,
web.forms.page.filling.text.intents.not.supported,Οι εξωτερικές προθέσεις δεν υποστηρίζονται σε φόρμες ιστού. Εισαγάγετε τις λεπτομέρειες εδώ.,,,
web.forms.page.filling.text.queries.not.supported,Τα ερωτήματα δεν υποστηρίζονται σε φόρμες ιστού. Εισαγάγετε τις λεπτομέρειες εδώ.,,,
web.forms.page.filling.text.url.appearance.button,Άνοιγμα Url,,,
web.forms.page.filling.text.zebra.not.supported,Ο εκτυπωτής Zebra δεν υποστηρίζεται σε φόρμες ιστού.,,,
web.forms.page.filling.trigger.error.not.supported,Τα πεδία ενεργοποίησης δεν υποστηρίζονται σε φόρμες ιστού. Εισαγάγετε τις λεπτομέρειες εδώ.,,,
web.forms.page.filling.unknown.field.type.error.not.supported,"Ο τύπος του πεδίου ""{0}"" δεν μπορεί να εμφανιστεί στη διεπαφή ιστού, επομένως θα χρησιμοποιηθεί ένα πεδίο κειμένου.",,,
web.forms.page.filling.video.select.file.button,Επιλέξτε αρχείο βίντεο,,,
web.forms.page.forms.header,Επιλογή φόρμας για σημπλήρωση:,,,
web.forms.page.forms.title,Συμπλήρωση κενής φόρμας,,,
web.forms.page.maim.delete.saved.form.button,Διαγραφή αποθηκευμένης φόρμας,,,
web.forms.page.main.download.app.button,Κατέβασμα εφαρμογής,,,
web.forms.page.main.edit.saved.form.button,Επεξεργασία αποθηκευμένης φόρμας,,,
web.forms.page.main.fill.blank.form.button,Συμπλήρωση κενής φόρμας,,,
web.forms.page.main.manage.cases.button,Διαχείριση περιπτώσεων,,,
web.forms.page.main.sub.title,"Secure, high quality data collection",,,
web.forms.page.main.title,Αρχικό μενού,,,
web.forms.page.shared.form.delete.button,Διαγραφή,,,
web.forms.page.shared.form.fill.out,Συμπλήρωση,,,
web.forms.page.shared.form.last.saved,Τελευταία αποθήκευση,,,
web.forms.page.shared.form.name,Όνομα,,,
web.forms.page.shared.form.resume.button,Συνέχιση,,,
web.forms.page.shared.form.title,Τίτλος,,,
web.forms.page.shared.form.version,Έκδοση,,,
web.forms.page.shared.no.forms.msg,Δεν υπάρχουν φόρμες.,,,
web.forms.page.shared.return.to.main.page.button,Επιστροφή στήν αρχική σελίδα,,,
web.forms.page.filling.intro.text,"Βρίσκεστε στην αρχή μιας φόρμας. Όταν είστε έτοιμοι να ξεκινήσετε, κάντε κλικ στο κουμπί «Επόμενο» παρακάτω ή προς τα δεξιά.<br/><br/>Στο τέλος, θα έχετε την ευκαιρία να υποβάλετε τις απαντήσεις σας.",,,
web.forms.page.filling.last.screen.title,Είστε στο τέλος της {0},,,
web.forms.page.filling.last.screen.hint,Κάντε κλικ στο παρακάτω κουμπί για να υποβάλετε αυτήν τη φόρμα όπως εχει συμπληρωθεί έως τώρα.,,,
web.forms.page.filling.last.screen.name.label,Ονομάστε αυτήν τη φόρμα,,,
web.forms.page.filling.last.screen.submit.button,Υποβολή Φόρμας,,,
web.forms.page.filling.last.screen.save.exit.button,Αποθήκευση Φόρμας και Έξοδος,,,
web.forms.page.filling.last.screen.mark.finalized.checkbox,Επισήμανση φόρμας ως οριστικοποιημένη,,,
web.forms.page.filling.thankyou.submitted.title,Η φόρμα υποβλήθηκε με επιτυχία,,,
web.forms.page.filling.thankyou.submitted.text,Σας ευχαριστούμε! Η φόρμα σας έχει υποβληθεί με επιτυχία.,,,
web.forms.page.filling.thankyou.not.submitted.title,Η φόρμα δεν υποβλήθηκε,,,
web.forms.page.filling.thankyou.not.submitted.text,Σας ευχαριστούμε! Δεν υποβλήθηκαν δεδομένα.,,,
web.forms.page.filling.repeat.table.label,Περίληψη,,,
web.forms.page.filling.repeat.table.back.level.button,Ένα επίπεδο πίσω,,,
web.forms.page.filling.repeat.table.add.row.button,Προσθήκη ομάδας,,,
