Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.filling.go.to.UI.go.up,"ऊपर जाइये","The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.",,,"Go up"
web.forms.page.filling.go.to.UI.resume,"पुनः भरना शुरू करें","When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,Resume
web.forms.page.filling.image.annotate.hint,"कृपया एक टिपण्णी करने योग्य चित्र अपलोड करें","This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form. ",,,"Please upload an annotated image."
web.forms.page.filling.image.draw.hint,"कृपया एक खींची गई छवि अपलोड करें।","This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form. ",,,"Please upload a drawn image."
web.forms.page.filling.image.select.file.button,"छवि चुने","Button label in an image field for selecting an existing image. ",,,"Select image"
web.forms.page.filling.image.signature.hint,"कृपया अपने हस्ताक्षर के साथ एक फ़ाइल अपलोड करें।","This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form. ",,,"Please upload a file with your signature."
web.forms.page.filling.image.take.picture.button,"तस्वीर खींचे","Button label in an image field for taking a new picture.",,,"Take picture"
web.forms.page.filling.input.field.placeholder.label,"आपका जवाब यहाँ लिखें","This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,,"Your answer here..."
web.forms.page.filling.integer.error.not.integer,"कृपया केवल पूर्णांक ही दर्ज करें।","The error message when you try to enter a non-integer into an integer field.",,,"Please enter an integer only."
web.forms.page.filling.intro.text.line1,"आप एक फॉर्म की शुरुआत में हैं। शुरू करने के लिए तैयार होने पर, कृपया नीचे दिए गए {0} बटन पर या दाईं ओर क्लिक करें ।","Default message that appears at the beginning of a form.",,,"You are at the start of a form. When ready to begin, please click the {0} button below or to the right."
web.forms.page.filling.intro.text.line2,"अंत में, आपको अपनी प्रतिक्रियाएँ सबमिट करने का अवसर मिलेगा।","Default message that appears at the beginning of a form.",,,"At the end, you will have the opportunity to submit your responses."
web.forms.page.filling.last.screen.hint,"इस फॉर्म को सबमिट करने के लिए नीचे दिए गए बटन पर क्लिक करें क्योंकि यह वर्तमान में भरा हुआ है।","This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.",,,"Click the button below to submit this form as it is currently filled out."
web.forms.page.filling.last.screen.mark.finalized.checkbox,"फॉर्म को फाइनलाइज़्ड करें","The checkbox label when a logged-in user reaches the end of a form.",,,"Mark form as finalized"
web.forms.page.filling.last.screen.name.label,"इस फॉर्म को नाम दें","The input box label when a logged-in user reaches the end of a form.",,,"Name this form"
web.forms.page.filling.last.screen.save.exit.button,"फॉर्म सहेजें और बाहर निकलें","The button label for logged-in users when they reach the end of a form. ",,,"Save Form and Exit"
web.forms.page.filling.last.screen.submit.button,"फार्म जमा करें","The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form. ",,,"Submit Form"
web.forms.page.filling.last.screen.title,"आप {0} के अंत में हैं","This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.",,,"You are at the end of {0}"
web.forms.page.filling.login.panel.loggedin.as,"आप अभी इस रूप में लॉगिन हैं","This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,,"You are currently logged in as"
web.forms.page.filling.login.panel.login.and.continue.btn,"लॉग इन करें और जारी रखें","The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).",,,"Log in and continue"
web.forms.page.filling.login.panel.login.btn,"लॉग इन करें",,,,"Log in"
web.forms.page.filling.login.panel.logout.btn,"लॉग आउट करें","The button label in the user dropdown menu in the top right for logged-in users. ",,,"Log out"
web.forms.page.filling.login.panel.not.loggedin.long,"आप वर्तमान में लॉग्ड इन नहीं हैं","This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).",,,"You are not currently logged in"
web.forms.page.filling.login.panel.not.loggedin.short,"लॉग्ड इन नहीं है","This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).",,,"Not logged in"
web.forms.page.filling.menu.add.comment,"टिप्पणी जोड़ें","If your form contains a comments field, this is the menu option label to leave a comment. ",,,"Add comment"
web.forms.page.filling.menu.appearance,अपीयरेंस,"This is the dropdown menu label to change the appearance style (only available to logged-in users).",,,Appearance
web.forms.page.filling.menu.appearance.default,डिफ़ॉल्ट,"Label in the Appearance dropdown menu for the 'default' appearance style.",,,Default
web.forms.page.filling.menu.appearance.small,छोटा,"Label in the Appearance dropdown menu for the 'small' appearance style.",,,Small
web.forms.page.filling.menu.appearance.small.wide,छोटा-चौड़ा,"Label in the Appearance dropdown menu for the 'small wide' appearance style.",,,"Small wide"
web.forms.page.filling.menu.appearance.wide,चौड़ा,"Label in the Appearance dropdown menu for the 'wide' appearance style.",,,Wide
web.forms.page.filling.menu.clear.responses,"प्रतिक्रियाएँ हटाएँ","The option in the 'options' dropdown menu to remove your response from the current field. ",,,"Clear responses"
web.forms.page.filling.menu.exit.to.main.menu,"मुख्य मेनू पर बाहर निकलें","Logged-in users will see this option in the 'options' dropdown menu.",,,"Exit to main menu"
web.forms.page.filling.menu.options,विकल्प,"The label for the 'options' dropdown menu.",,,Options
web.forms.page.filling.menu.remove.current.repeat.instance,"वर्तमान रिपीट इंस्टैंस को हटाएँ","In a repeat group, this option will be available in the 'options' dropdown menu.",,,"Remove current repeat instance"
web.forms.page.filling.menu.save.form,"फॉर्म सहेजें","Logged-in users will see this option in the toolbar.",,,"Save form"
web.forms.page.filling.menu.skip.to.next,"छोड़ कर अगले पर जाएँ","Logged-in users will see this option in the 'options' dropdown menu.",,,"Skip to next"
web.forms.page.filling.menu.start.over,"फिर से प्रारंभ करें","This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.",,,"Start over"
web.forms.page.filling.menu.validate.form,"फॉर्म को वेलिडेट (प्रमाणित) करें","Logged-in users will see this option in the 'options' dropdown menu.",,,"Validate form"
web.forms.page.filling.nav.end,"अंत पर जाइये","The tooltip that appears when you hover over the circle 'go to end' button.",,,"Go to end"
web.forms.page.filling.nav.next,अगला,"The tooltip that appears when you hover over the circle 'next' button.",,,Next
web.forms.page.filling.nav.previous,पिछला,"The tooltip that appears when you hover over the circle  'previous' button.",,,Previous
web.forms.page.filling.nav.start,"शुरुआत पर जाइएं ","The tooltip that appears when you hover over the circle 'go to start' button. ",,,"Go to start"
web.forms.page.filling.next.button,अगला,"The button label for the blue 'next' button at the bottom right. ",,,Next
web.forms.page.filling.numerical.error.not.numeric,"कृपया केवल नंबर दर्ज करें।","Error message that appears when the user is prompted for a decimal value and enters something invalid.",,,"Please enter a number only."
web.forms.page.filling.popups.add.comment.intro,"कृपया नीचे दिए गए क्षेत्र में अपनी टिप्पणी लिखें:","This is the field label in the pop-up to add a comment.",,,"Please type your comment in the field below:"
web.forms.page.filling.popups.add.comment.save.button,"टिप्पणी सहेजें","This is the button label in the pop-up to save a comment.",,,"Save comment"
web.forms.page.filling.popups.add.comment.title,"टिप्पणी जोड़ें","This is the title of the pop-up to add a comment.",,,"Add comment"
web.forms.page.filling.popups.add.new.group.message,"एक नया ""{0}"" समूह जोड़ें?","{0} gets replaced with the repeat group label and must be included in your translation.",,,"Add a new ""{0}"" group?"
web.forms.page.filling.popups.add.new.group.negative.button,"ना जोड़े","The button label to not add a new group in the 'add new group' pop-up for repeat groups.",,,"Do not add"
web.forms.page.filling.popups.add.new.group.positive.button,"समूह जोड़ें","The button label to add a new group in the 'add new group' pop-up for repeat groups.",,,"Add group"
web.forms.page.filling.popups.add.new.group.title,"नया समूह जोड़ना चाहते हैं?","The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).",,,"Add new group?"
web.forms.page.filling.popups.add.one.more.group.message,"एक और ""{0}"" समूह जोड़ें?","This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.",,,"Add another ""{0}"" group?"
web.forms.page.filling.popups.add.one.more.group.title,"एक और समूह जोड़ना चाहते हैं?","The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.",,,"Add one more group?"
web.forms.page.filling.popups.cancel.button,"रद्द करें","Generic button label for all 'cancel' buttons in pop-ups.",,,Cancel
web.forms.page.filling.popups.capture.media.done.button,पूर्ण,"The button label to save the current snapshot in the 'capture media' pop-up.",,,Done
web.forms.page.filling.popups.capture.media.take.button,"स्नैपशॉट लें","The button label to take a picture in the 'capture media' pop-up.",,,"Take snapshot"
web.forms.page.filling.popups.capture.media.title,"मीडिया संगृहीत करें","The title of the 'capture media' pop-up.",,,"Capture media"
web.forms.page.filling.popups.clear.responses.prompt.button,"सभी प्रतिक्रियाओं को हटाएं","The button label to clear all responses in the confirmation pop-up when you attempt to clear responses. ",,,"Clear all responses"
web.forms.page.filling.popups.clear.responses.prompt.message,"वर्तमान पृष्ठ की सभी प्रतिक्रियाएँ हटाएं?","The message in the confirmation pop-up when you attempt to clear responses. ",,,"Clear all responses on this current page?"
web.forms.page.filling.popups.clear.responses.prompt.title,"पुष्टि करें","The title of the confirmation pop-up when you attempt to clear responses. ",,,Confirm
web.forms.page.filling.popups.close.button,"बंद करे","Generic button label for all 'close' buttons in pop-ups.",,,Close
web.forms.page.filling.popups.confirm.discard.prompt.button,"हाँ, मैंने तय कर लिया है!","This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.",,,"Yes, I'm sure!"
web.forms.page.filling.popups.confirm.discard.prompt.message,"यह आपके द्वारा दर्ज किए गए किसी भी नए डेटा को निरस्त कर देगा। क्या आपने तय कर लिया है?","This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.",,,"This will discard any new data that you have entered. Are you sure?"
web.forms.page.filling.popups.confirm.discard.prompt.title,"बाहर निकलने की पुष्टि करें","This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.",,,"Confirm exit"
web.forms.page.filling.popups.confirm.title,"पुष्टि करें","Generic pop-up title for confirmation pop-ups.",,,Confirm
web.forms.page.filling.popups.error.title,त्रुटि,"Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.",,,Error
web.forms.page.filling.popups.exit.form.prompt.message,"क्या आप बाहर निकलने से पहले अपने फ़ॉर्म को सहेजना चाहते हैं, या आपके द्वारा किए गए सभी परिवर्तनों को निरस्त कर देना चाहते हैं?","This is the message in the pop-up when logged-in users attempt to exit to main menu.",,,"Do you want to save your form before exiting, or discard all changes that you've made?"
web.forms.page.filling.popups.exit.form.prompt.negative.button,"परिवर्तनों को निरस्त करें","This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.",,,"Discard Changes"
web.forms.page.filling.popups.exit.form.prompt.positive.button,"परिवर्तनों को सुरक्षित करें","This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.",,,"Save Changes"
web.forms.page.filling.popups.exit.form.prompt.title,"बाहर निकलने की पुष्टि करें","This is the title of the pop-up when logged-in users attempt to exit to main menu.",,,"Confirm exit"
web.forms.page.filling.popups.form.saved.confirmation.message,"फ़ॉर्म सफलतापूर्वक सहेजा गया!","This is the message in the confirmation pop-up when a logged-in user saves their form successfully.",,,"Form successfully saved!"
web.forms.page.filling.popups.form.validated.confirmation.message,"प्रमाणीकरण सफल हुआ!","This is the message in the confirmation pop-up when a logged-in user validates their form successfully.",,,"Validation succeeded!"
web.forms.page.filling.popups.form.validated.go.to.end.button,"अंत पर जाइये","This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.",,,"Go to end"
web.forms.page.filling.popups.no.cookies.line1,"हमने पाया है कि आपने इस वेबसाइट के लिए ""कुकी"" समर्थन अक्षम (बंद) कर दिया है। आप ऐसा कर सकते हैं, लेकिन कृपया ध्यान रखें कि, कुकीज़ के बिना, आपकी अनाम पहचान को ट्रैक करने के लिए, आप आंशिक रूप से भरे हुए फॉर्म को फिर से शुरू नहीं कर पाएंगे, आपका सत्र किसी कारण से बाधित होना चाहिए।","The warning message that appears when a user has disabled cookies.",,,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason."
web.forms.page.filling.popups.no.cookies.line2,"इसके अलावा, इस सर्वेक्षण को भरने के लिए आप जिस URL का उपयोग कर रहे हैं उसे कॉपी न करें और इसे किसी और के साथ साझा करें। यदि आप करते हैं, तो वे आपके सत्र को देख और फिर से शुरू कर सकते हैं।","The warning message that appears when a user has disabled cookies.",,,"Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session."
web.forms.page.filling.popups.remove.instance.prompt.button,"हां, इसे हटा दें","This is the button label in the confirmation pop-up when you try to remove the current repeat instance.",,,"Yes, remove it"
web.forms.page.filling.popups.remove.instance.prompt.message,"समूह को हटाने की पुष्टि करें","This is the title of the confirmation pop-up when you try to remove the current repeat instance.",,,"Confirm group removal"
web.forms.page.filling.popups.remove.instance.prompt.title,"समूह ""{0}"" और उसके सभी उप-समूह हटाएँ?","This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.",,,"Remove group ""{0}"" and all of its sub-groups?"
web.forms.page.filling.popups.resume.prompt.message,"आपने पहले ही इस फ़ॉर्म को भरना शुरू कर दिया है और इसे अंतिम रूप से {0} पर अपडेट किया है। जहाँ से आपने छोड़ा था, उसे फिर से शुरू करें या उस संस्करण को रद्द कर दें और फिर से शुरू करें? (यदि आप फिर से शुरू करना चुनते हैं, तो पुराने संस्करण को छोड़ दिया जाएगा और उसको पूर्ववत नहीं किया जा सकेगा।)","This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.",,,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)"
web.forms.page.filling.popups.resume.prompt.negative.button,"निरस्त करें","This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ",,,Discard
web.forms.page.filling.popups.resume.prompt.positive.button,"पुनः भरना शुरू करें","This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ",,,Resume
web.forms.page.filling.popups.resume.prompt.title,"अपूर्ण फॉर्म मिला है","This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ",,,"Un-finished form found"
web.forms.page.filling.popups.resume.different.caseid.negative.button,"{0} को पुनः भरना शुरू करें","The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.",,,"Resume {0}"
web.forms.page.filling.popups.resume.different.caseid.positive.button,"प्रारंभ {0}","The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.",,,"Start {0}"
web.forms.page.filling.popups.resume.different.caseid.title,चेतावनी,"The title of the pop-up message prompting which case ID to use.",,,Warning
web.forms.page.filling.popups.start.over.prompt.button,"परिवर्तनों को निरस्त करें","This is the button label to discard changes in the pop-up when you attempt to start over.",,,"Discard Changes"
web.forms.page.filling.popups.start.over.prompt.message,"सभी परिवर्तनों को निरस्त करें और रिक्त फ़ॉर्म के साथ शुरू करें?","This is the message in the pop-up when you attempt to start over.",,,"Discard all changes and start over with a blank form?"
web.forms.page.filling.popups.start.over.prompt.title,"बाहर निकलने की पुष्टि करें","This is the title of the pop-up when you attempt to start over.",,,"Confirm exit"
web.forms.page.filling.popups.success.title,सफलता,"Generic title of 'success' type pop-ups.",,,Success
web.forms.page.filling.popups.warning.title,चेतावनी,"Generic title of 'warning' type pop-ups. ",,,Warning
web.forms.page.filling.repeat.table.add.row.button,"लाइन जोड़े",,,,"Add row"
web.forms.page.filling.repeat.table.back.level.button,"पिछले स्तर पर वापस","Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.",,,"Back one level"
web.forms.page.filling.repeat.table.label,सारांश,"The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.",,,Summary
web.forms.page.filling.select1.minimal.label,"एक उत्तर चुनें","The first option in the dropdown in a select_one field with the 'minimal' appearance.",,,"Select one answer"
web.forms.page.filling.selectx.minimal.remove.response.button.label,"प्रतिक्रिया हटाए","The button label to remove responses in a select_multiple field with the 'minimal' appearance.",,,"Remove response"
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"क्षमा करें, आप केवल संख्यात्मक अंक, -, +, अल्पविराम, बिंदु और स्थान दर्ज कर सकते हैं।","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,"This sentence has 'plus' and '+' both.","Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( )."
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"क्षमा करें, आप केवल फ़ोन अंक, -, +, बिंदु, हैशटैग(#), तारांकन(*) और रिक्त स्थान दर्ज कर सकते हैं।","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,"We can show the symbol of hashtag and Asterisks.","Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( )."
web.forms.page.filling.text.error.url.appearance.blank,"कोई url सेट नहीं है।","Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,"No url is set."
web.forms.page.filling.text.url.appearance.button,"यूआरएल खोलें",,,,"Open Url"
web.forms.page.filling.thankyou.not.submitted.text,"धन्यवाद! कोई डेटा सबमिट नहीं किया गया था।","The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.",,,"Thank you! No data was submitted."
web.forms.page.filling.thankyou.not.submitted.title,"फॉर्म सबमिट नहीं किया गया था","The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.",,,"Form was not submitted"
web.forms.page.filling.thankyou.submitted.text,"धन्यवाद! आपका फॉर्म सफलतापूर्वक सबमिट कर दिया गया है।","The message after you submit a form.",,,"Thank you! Your form has been successfully submitted."
web.forms.page.filling.thankyou.submitted.title,"फॉर्म सफलतापूर्वक सबमिट किया गया","The title after you submit a form.",,,"Form successfully submitted"
web.forms.page.filling.unknown.field.type.error.not.supported,"फ़ील्ड का प्रकार '{0}' वेब इंटरफेस में प्रदर्शित नहीं किया जा सकता है, इसलिए इसके बजाय एक टेक्स्ट फ़ील्ड का उपयोग किया जाएगा।","Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.",,,"The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead."
web.forms.page.filling.video.select.file.button,"वीडियो फ़ाइल का चयन करें","The button label in a 'video' field type.",,,"Select video file"
web.forms.page.forms.header,"भरने के लिए एक रिक्त फ़ॉर्म चुनें:","The heading text at the top of the 'fill blank form' page.",,,"Choose a blank form to fill out:"
web.forms.page.forms.title,"खाली फॉर्म भरें","The page title of the 'fill blank form' page.",,,"Fill blank form"
web.forms.page.main.download.app.button,"ऐप डाउनलोड करें","The button label on the main menu page.",,,"Download app"
web.forms.page.main.edit.saved.form.button,"सहेजे गए फॉर्म को संपादित करें","The button label on the main menu page (only available to logged-in users).",,,"Edit saved form"
web.forms.page.main.fill.blank.form.button,"खाली फॉर्म भरें","The button label on the main menu page for logged-in users to get to the 'fill blank form' page.",,,"Fill blank form"
web.forms.page.main.manage.cases.button,"मैनेज केसेज","The button label on the main menu page (only available to logged-in users).",,,"Manage cases"
web.forms.page.main.sub.title,"सुरक्षित, उच्च गुणवत्ता का डेटा संग्रह","The page subheading on the main menu page (only visible to logged-in users).",,,"Secure, high quality data collection"
web.forms.page.main.title,"मुख्य मेनू","The page title of the main menu page (only visible to logged-in users).",,,"Main menu"
web.forms.page.shared.form.delete.button,हटाएं,"The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).",,,Delete
web.forms.page.shared.form.fill.out,भरें,"The button label for filling out a form from any of the main menu sub-pages.",,,"Fill out"
web.forms.page.shared.form.resume.button,"पुनः शुरू करें","The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).",,,Resume
web.forms.page.shared.form.title,शीर्षक,,,,Title
web.forms.page.shared.no.forms.msg,"कोई इंस्टैंस नहीं हैं।","The message when there are no saved forms on any of the main menu pages (only available to logged-in users).",,,"There are no instances."
web.forms.page.shared.return.to.main.page.button,"मुख्य मेनू पर लौटें","The button label for returning to the main menu when you are on any of the main menu sub-pages.",,,"Return to main menu"
web.forms.page.filling.date.months.april,अप्रैल,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,April
web.forms.page.filling.date.months.august,अगस्त,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,August
web.forms.page.filling.date.months.december,दिसंबर,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,December
web.forms.page.filling.date.months.february,फरवरी,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,February
web.forms.page.filling.date.months.january,जनवरी,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,January
web.forms.page.filling.date.months.july,जुलाई,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,July
web.forms.page.filling.date.months.june,जून,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,June
web.forms.page.filling.date.months.march,मार्च,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,March
web.forms.page.filling.date.months.may,मई,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,May
web.forms.page.filling.date.months.november,नवंबर,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,November
web.forms.page.filling.date.months.october,अक्टूबर,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,October
web.forms.page.filling.date.months.september,सितंबर,"This is the month label used in date and datetime fields with the 'no-calendar' appearance.",,,September
