Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.filling.geopoint.error.not.available,တည္ေနရာအခ်က္အလက္မရရွိနိုင္ပါ,Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).,,,Location information is not available.
web.forms.page.filling.geopoint.error.permission.denied,တည္ေနရာကိုရွာလို႔ မရပါ (Permmision ပိတ္ထားလို႔ျဖစ္တယ္) ။သင့္ရဲ႕ တည္ေနရာကိုၾကည့္ရန္ GPS ဖြင့္ထားဖို႔လိုအပ္ပါသည္။,Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.,,,Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location.
web.forms.page.filling.geopoint.error.request.timeout,အသုံးျပဳသူ၏ တည္ေနရာရရန္ေတာင္းဆိုမွုမွ ာ မရရွိနိုင္ပါ,Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.,,,The request to get user location timed out.
web.forms.page.filling.geopoint.error.unknown,အမည္မသိအမွားတစ္ခုျဖစ္ပြားခဲ့သည္,Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.,,,An unknown error occurred.
web.forms.page.filling.geopoint.latitude,လတၱီတြဒ္,This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.,,,Latitude
web.forms.page.filling.geopoint.longitude,ေလာင္ဂ်ီတြဒ္,This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.,,,Longitude
web.forms.page.filling.geopoint.record.location.button,တည္ေနရာမွတ္တမ္း,The primary button label in a geo field before you've recorded a location.,,,Record location
web.forms.page.filling.geopoint.replace.location.button,တည္ေနရာကိုအစားထိုးျခင္း,This is the button label once you've recorded a location in a geo field.,,,Replace location
web.forms.page.filling.go.to.button,သြားပါ,The label for the 'go to' button.,,,Go to
web.forms.page.filling.go.to.UI.close,ပိတ္ပါ,The label for the red button in the 'go to' screen used to exit the 'go to' screen.,,,Close
web.forms.page.filling.go.to.UI.go.there,ထိုေနရာကို သြားရန္,The label for the button next to each field in the 'go to' screen.,,,Go there
web.forms.page.filling.go.to.UI.go.to.end,အဆုံးကိုသြားပါ,The button label in the 'go to' screen for progressing to the end of the form.,,,Go to end
web.forms.page.filling.go.to.UI.go.to.start,အစကိုသြားပါ,The button label in the 'go to' screen for returning to the beginning of the form. ,,,Go to start
web.forms.page.filling.go.to.UI.go.up,အေပါ္ကိုသြားပါ,The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.,,,Go up
web.forms.page.filling.go.to.UI.resume,ျပန္စသည္,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,Resume
web.forms.page.filling.image.annotate.hint,ေက်းဇူးျပဳၿပီးမွတ္ထားေသာပုံကိုတင္ပါရန္,This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form. ,,,Please upload an annotated image.
web.forms.page.filling.image.draw.hint,ေက်းဇူးျပဳၿပီးဆြဲထားေသာပုံကိုတင္ပါရန္,This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form. ,,,Please upload a drawn image.
web.forms.page.filling.image.select.file.button,ပုံကိုေရြးပါ,Button label in an image field for selecting an existing image. ,,,Select image
web.forms.page.filling.image.signature.hint,ေက်းဇူးျပဳၿပီးသင့္လက္မွတ္ႏွင့္ဖိုင္တစ္ခုကိုတင္ပါ,This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form. ,,,Please upload a file with your signature.
web.forms.page.filling.image.take.picture.button,ဓါတ္ပုံရိုက္ပါ,Button label in an image field for taking a new picture.,,,Take picture
web.forms.page.filling.input.field.placeholder.label,မင္းရဲ့အေျဖကဒီမွာ ...,"This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,,Your answer here...
web.forms.page.filling.integer.error.not.integer,ေက်းဇူးျပဳ၍ ကိန္းတစ္ခုသာရိုက္ထည့္ပါရန္,The error message when you try to enter a non-integer into an integer field.,,,Please enter an integer only.
web.forms.page.filling.intro.text1,"သင္သည္ယခု Form၏အစေနရာမွာျဖစ္ပါတယ္။ စတင္ရန္အဆင္သင့္ျဖစ္လွ်င္ ေက်းဇူးျပဳ၍ ေအာက္ေဖာ္ျပပါ {0} ခလုတ္ကိုႏွိပ္ပါသို႔မဟုတ္ <br />ေနာက္ဆုံးသို႔သြားရန္ <br/> <br/>ကိုႏွိပ္ပါ ေနာက္ဆုံးတြင္သင့္တုန႔္ျပန္မႈမ်ားကိုတင္ျပရန္အခြင့္အေရးရပါလိမ့္မည္။","Default message that appears at the beginning of a form.",,,"You are at the start of a form. When ready to begin, please click the {0} button below or to the right."
web.forms.page.filling.intro.text2,"သင္သည္ယခု Form၏အစေနရာမွာျဖစ္ပါတယ္။ စတင္ရန္အဆင္သင့္ျဖစ္လွ်င္ ေက်းဇူးျပဳ၍ ေအာက္ေဖာ္ျပပါ {0} ခလုတ္ကိုႏွိပ္ပါသို႔မဟုတ္ <br />ေနာက္ဆုံးသို႔သြားရန္ <br/> <br/>ကိုႏွိပ္ပါ ေနာက္ဆုံးတြင္သင့္တုန႔္ျပန္မႈမ်ားကိုတင္ျပရန္အခြင့္အေရးရပါလိမ့္မည္။","Default message that appears at the beginning of a form.",,,"At the end, you will have the opportunity to submit your responses."
web.forms.page.filling.last.screen.hint,ယခု form ကိုျဖည့္စြက္ရန္အတြက္ေအာက္ပါခလုတ္ကိုႏွိပ္ပါ။,This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.,,,Click the button below to submit this form as it is currently filled out.
web.forms.page.filling.last.screen.mark.finalized.checkbox,form ကိုအဆံုးသတ္ပါရန္,The checkbox label when a logged-in user reaches the end of a form.,,,Mark form as finalized
web.forms.page.filling.last.screen.name.label,form ကို အမည္ ေရးပါ,The input box label when a logged-in user reaches the end of a form.,,,Name this form
web.forms.page.filling.last.screen.save.exit.button,from ကို သိမ္းျပီးလွ်င္ ထြက္ပါ,The button label for logged-in users when they reach the end of a form. ,,,Save Form and Exit
web.forms.page.filling.last.screen.submit.button,form ကိုတင္သြင္းျခင္း,The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form. ,,,Submit Form
web.forms.page.filling.last.screen.title,သင္သည္ {0} ရဲ့အဆုံးေရာက္ေနၿပီ။,This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.,,,You are at the end of {0}
web.forms.page.filling.login.panel.loggedin.as,သင္လက္ရွိတြင္ ေလာ့ဂ္အင္၀င္ေနပါသည္,"This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,,You are currently logged in as
web.forms.page.filling.login.panel.login.and.continue.btn,ေလာ့ဂ္အင္၀င္၍ ဆက္လုပ္ပါ,The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,Log in and continue
web.forms.page.filling.login.panel.login.btn,ေလာ့ဂ္အင္၀င္,,,,Log in
web.forms.page.filling.login.panel.logout.btn,ျပန္ထြက္ပါ,The button label in the user dropdown menu in the top right for logged-in users. ,,,Log out
web.forms.page.filling.login.panel.not.loggedin.long,သင္လက္ရွိတြင္ ေလာ့ဂ္အင္မ၀င္ပါ,This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,You are not currently logged in
web.forms.page.filling.login.panel.not.loggedin.short,ေလာ့ဂ္အင္ဝင္မထားပါ,This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,Not logged in
web.forms.page.filling.menu.add.comment,အျကံျပဳစာေရးပါ,"If your form contains a comments field, this is the menu option label to leave a comment. ",,,Add comment
web.forms.page.filling.menu.appearance,အသြင္အျပင္,This is the dropdown menu label to change the appearance style (only available to logged-in users).,,,Appearance
web.forms.page.filling.menu.appearance.default,ပ်က္ကြက္,Label in the Appearance dropdown menu for the 'default' appearance style.,,,Default
web.forms.page.filling.menu.appearance.small,ေသးငယ္ေသာ,Label in the Appearance dropdown menu for the 'small' appearance style.,,,Small
web.forms.page.filling.menu.appearance.small.wide,အနည္းငယ္က်ယ္ျပန႔္သည္,Label in the Appearance dropdown menu for the 'small wide' appearance style.,,,Small wide
web.forms.page.filling.menu.appearance.wide,က်ယ္ျပန႔္သည္,Label in the Appearance dropdown menu for the 'wide' appearance style.,,,Wide
web.forms.page.filling.menu.clear.responses,ရွင္းလင္းေသာတုံ႔ျပန္မွု,The option in the 'options' dropdown menu to remove your response from the current field. ,,,Clear responses
web.forms.page.filling.menu.exit.to.main.menu,main menu ကို ထြက္ပါ,Logged-in users will see this option in the 'options' dropdown menu.,,,Exit to main menu
web.forms.page.filling.menu.options,ေရြးခ်ယ္စရာမ်ား,The label for the 'options' dropdown menu.,,,Options
web.forms.page.filling.menu.remove.current.repeat.instance,လက္ရွိရွိေနေသာ အရာအားဖယ္ရွားျပီး ဥပမာအားထပ္ထည္႔ပါရန္,"In a repeat group, this option will be available in the 'options' dropdown menu.",,,Remove current repeat instance
web.forms.page.filling.menu.save.form,form ကိုသိမ္းဆည္းပါ,Logged-in users will see this option in the toolbar.,,,Save form
web.forms.page.filling.menu.skip.to.next,ေရွ႔သို႔ေက်ာ္ရန္,Logged-in users will see this option in the 'options' dropdown menu.,,,Skip to next
web.forms.page.filling.menu.start.over,စတင္ပါရန္,This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.,,,Start over
web.forms.page.filling.menu.validate.form,ပုံစံကိုအတည္ျပဳပါရန္,Logged-in users will see this option in the 'options' dropdown menu.,,,Validate form
web.forms.page.filling.nav.end,အဆုံးသတ္ပါ,The tooltip that appears when you hover over the circle 'go to end' button.,,,Go to end
web.forms.page.filling.nav.next,ေရွ႕သို႔သြားပါ,The tooltip that appears when you hover over the circle 'next' button.,,,Next
web.forms.page.filling.nav.previous,ေရွ့သို႔,The tooltip that appears when you hover over the circle  'previous' button.,,,Previous
web.forms.page.filling.nav.start,အစကို သြားပါ,The tooltip that appears when you hover over the circle 'go to start' button. ,,,Go to start
web.forms.page.filling.next.button,ေရွ႕သို႔သြားပါ,The button label for the blue 'next' button at the bottom right. ,,,Next
web.forms.page.filling.numerical.error.not.numeric,ေက်းဇူးျပဳ၍ နံပါတ္ထည့္ပါရန္,Error message that appears when the user is prompted for a decimal value and enters something invalid.,,,Please enter a number only.
web.forms.page.filling.popups.add.comment.intro,ေက်းဇူးျပဳ၍ သင္၏ထင္ျမင္ခ်က္ကိုေအာက္ပါအကြက္ထဲတြင္ရိုက္ပါ။,This is the field label in the pop-up to add a comment.,,,Please type your comment in the field below:
web.forms.page.filling.popups.add.comment.save.button,ထင္ျမင္ အျကံျပဳခ်က္ကို သိမ္းဆည္းပါ,This is the button label in the pop-up to save a comment.,,,Save comment
web.forms.page.filling.popups.add.comment.title,ထင္ျမင္ အျကံျပဳခ်က္စာေရးပါ,This is the title of the pop-up to add a comment.,,,Add comment
web.forms.page.filling.popups.add.new.group.message,{0} အုပ္စုအသစ္တစ္ခုထပ္ထည့္ပါ။,{0} gets replaced with the repeat group label and must be included in your translation.,,,"Add a new ""{0}"" group?"
web.forms.page.filling.popups.add.new.group.negative.button,ထပ္မထည့္ပါနဲ႔,The button label to not add a new group in the 'add new group' pop-up for repeat groups.,,,Do not add
web.forms.page.filling.popups.add.new.group.positive.button,အုပ္စုေပါင္းထည့္ပါ,The button label to add a new group in the 'add new group' pop-up for repeat groups.,,,Add group
web.forms.page.filling.popups.add.new.group.title,အုပ္စုအသစ္ေပါင္းထည့္ပါ။,The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).,,,Add new group?
web.forms.page.filling.popups.add.one.more.group.message,အုပ္စုအသစ္ေပါင္းထည့္ပါ။,This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.,,,"Add another ""{0}"" group?"
web.forms.page.filling.popups.add.one.more.group.title,"အျခား ""{0}"" အုပ္စုတစ္ခုကိုထပ္ထည့္ပါ။",The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.,,,Add one more group?
web.forms.page.filling.popups.cancel.button,ပယ္ဖ်က္ျခင္း,Generic button label for all 'cancel' buttons in pop-ups.,,,Cancel
web.forms.page.filling.popups.capture.media.done.button,ျပီးစီးျခင္း,The button label to save the current snapshot in the 'capture media' pop-up.,,,Done
web.forms.page.filling.popups.capture.media.take.button,လၽွပ္တစ္ျပက္ရိုက္ယူျခင္း,The button label to take a picture in the 'capture media' pop-up.,,,Take snapshot
web.forms.page.filling.popups.capture.media.title,Capture media,The title of the 'capture media' pop-up.,,,Capture media
web.forms.page.filling.popups.clear.responses.prompt.button,တုံ႔ျပန္မွုအားလုံးကိုဖယ္ရွားျခင္း,The button label to clear all responses in the confirmation pop-up when you attempt to clear responses. ,,,Clear all responses
web.forms.page.filling.popups.clear.responses.prompt.message,ယခုစာမ်က္ႏွာေပၚရွိတုန႔္ျပန္မွုမ်ားအားလုံးကိုဖယ္ရွားပါ။,The message in the confirmation pop-up when you attempt to clear responses. ,,,Clear all responses on this current page?
web.forms.page.filling.popups.clear.responses.prompt.title,အတည္ျပဳျခင္း,The title of the confirmation pop-up when you attempt to clear responses. ,,,Confirm
web.forms.page.filling.popups.close.button,ပိတ္သိမ္းျခင္း,Generic button label for all 'close' buttons in pop-ups.,,,Close
web.forms.page.filling.popups.confirm.discard.prompt.button,ဟုတ္ပါတယ္။ က်ြန္ေတာ္ေသခ်ာပါတယ္။,This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,"Yes, I'm sure!"
web.forms.page.filling.popups.confirm.discard.prompt.message,၎သည္သင္ထည့္သြင္းလိုက္ေသာအခ်က္အလက္အသစ္မ်ားကိုဖယ္ရွားလိမ့္မည္။သင္ ေသခ်ာလား,This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,This will discard any new data that you have entered. Are you sure?
web.forms.page.filling.popups.confirm.discard.prompt.title,ထြက္ေပါက္ကိုအတည္ျပဳပါ,This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,Confirm exit
web.forms.page.filling.popups.confirm.title,အတည္ျပဳျခင္း,Generic pop-up title for confirmation pop-ups.,,,Confirm
web.forms.page.filling.popups.error.title,အမွား,Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.,,,Error
web.forms.page.filling.popups.exit.form.prompt.message,သင္မပိတ္မီသင့္ရဲ႕ Form ကိုသိမ္းဆည္းခ်င္ပါသလား၊ သို႔မဟုတ္သင္ထည့္ခဲ့ေသာ အခ်က္အလက္ေတြကို အားလုံးကိုဖ်က္လိုက္မွာလား။,This is the message in the pop-up when logged-in users attempt to exit to main menu.,,,"Do you want to save your form before exiting, or discard all changes that you've made?"
web.forms.page.filling.popups.exit.form.prompt.negative.button,ေျပာင္းလဲမွုမ်ားကိုပယ္ဖ်က္ျခင္း,This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.,,,Discard Changes
web.forms.page.filling.popups.exit.form.prompt.positive.button,ေျပာင္းလဲမွုမ်ားကို သိမ္းဆည္းျခင္း,This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.,,,Save Changes
web.forms.page.filling.popups.exit.form.prompt.title,ထြက္ေပါက္ကိုအတည္ျပဳပါ,This is the title of the pop-up when logged-in users attempt to exit to main menu.,,,Confirm exit
web.forms.page.filling.popups.form.saved.confirmation.message,ပုံစံကိုေအာင္ျမင္စြာသိမ္းဆည္းၿပီးပါၿပီ။,This is the message in the confirmation pop-up when a logged-in user saves their form successfully.,,,Form successfully saved!
web.forms.page.filling.popups.form.validated.confirmation.message,အတည္ျပဳမွုေအာင္ျမင္ခဲ့သည္။,This is the message in the confirmation pop-up when a logged-in user validates their form successfully.,,,Validation succeeded!
web.forms.page.filling.popups.form.validated.go.to.end.button,အဆံုးသို႔သြားပါ,This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.,,,Go to end
web.forms.page.filling.popups.no.cookies.line1,"ဒီဝက္ဘ္ဆိုက္အတြက္ ""cookie"" အေထာက္အပံ့ကိုသင္ပိတ္ထားသည္ကိုကြၽႏ္ုပ္တို႔ေတြ႕ရွိၿပီးၿပီ သင္လုပ္ႏိုင္သည္၊ သို႔ေသာ္သတိျပဳရန္မွာသင့္အေၾကာင္းျပခ်က္အခ်ိဳ႕ေၾကာင့္သင္ session ကိုရပ္တန႔္လိုက္ပါကသင့္အမည္ကိုမသိေသာအေထာက္အထားကိုေျခရာခံရန္ cookies မ်ားမပါ ၀ င္ပါကတစ္စိတ္တစ္ပိုင္းျဖည့္ထားေသာပုံစံကိုျပန္လည္စတင္ႏိုင္မည္မဟုတ္ေၾကာင္း ေက်းဇူးျပဳ၍ သတိျပဳပါ။",The warning message that appears when a user has disabled cookies.,,,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason."
web.forms.page.filling.popups.no.cookies.line2,"ဒဤစစ္တမ္းကိုျဖည့္စြက္ရန္ႏွင့္အျခားသူမ်ားကိုမွ်ေဝရန္သင္အသုံးျပဳေနေသာ URL ကိုေကာ္ပီကူး ၍လည္း မျပဳပါႏွင့္။ သင္လုပ္သည္ဆိုလွ်င္သူတို႔သည္သင္၏ session ကိုျပန္လည္စတင္ရလိမ့္မည္",The warning message that appears when a user has disabled cookies.,,,"Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session."
web.forms.page.filling.popups.remove.instance.prompt.button,ဟုတ္ကဲ့၊ ဖယ္ဖ်က္ပါ,This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,,"Yes, remove it"
web.forms.page.filling.popups.remove.instance.prompt.message,အုပ္စုဖယ္ရွားေရးကို အတည္ျပဳပါ,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,,Confirm group removal
web.forms.page.filling.popups.remove.instance.prompt.title,"အုပ္စု {0} ""ႏွင့္၎၏အုပ္စုငယ္မ်ားအားလုံးကိုဖယ္ရွားပါ။",This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,,"Remove group ""{0}"" and all of its sub-groups?"
web.forms.page.filling.popups.resume.prompt.message,ဤFormကိုသင္ျဖည့္စြက္ၿပီးေနာက္ဆုံး {0} တြင္ေနာက္ဆုံးအဆင့္ျမႇင့္တင္ၿပီးျဖစ္သည္။ သင္ခ်န္ထားခဲ့သည့္ေနရာမွျပန္လည္စတင္ပါ (သို႔) ထိုဗားရွင္းကိုဖ်က္ၿပီးျပန္စ ဦးမလား,This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)"
web.forms.page.filling.popups.resume.prompt.negative.button,ဖယ္ရွားပါ။,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,,Discard
web.forms.page.filling.popups.resume.prompt.positive.button,ျပန္စတင္သည္,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,,Resume
web.forms.page.filling.popups.resume.prompt.title,မျပီးစီးေသာ ပုံစံကိုေတြ႕သည္,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,,Un-finished form found
web.forms.page.filling.popups.resume.different.caseid.negative.button,{0}ျပန္စတင္သည္,The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,,Resume {0}
web.forms.page.filling.popups.resume.different.caseid.positive.button,{0}စတင္သည္,The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,,Start {0}
web.forms.page.filling.popups.resume.different.caseid.title,သတိေပးခ်က္,The title of the pop-up message prompting which case ID to use.,,,Warning
web.forms.page.filling.popups.start.over.prompt.button,သိမ္းဆည္းမူအားပယ္ဖ်က္ျခင္း,This is the button label to discard changes in the pop-up when you attempt to start over.,,,Discard Changes
web.forms.page.filling.popups.start.over.prompt.message,အေျပာင္းအလဲအားလုံးကိုပယ္ဖ်က္ၿပီးအလြတ္ပုံစံျဖင့္စတင္ခ်င္ပါသလား,This is the message in the pop-up when you attempt to start over.,,,Discard all changes and start over with a blank form?
web.forms.page.filling.popups.start.over.prompt.title,ထြက္ျခင္းကိုအတည္ျပဳပါ,This is the title of the pop-up when you attempt to start over.,,,Confirm exit
web.forms.page.filling.popups.success.title,ေအာင္ျမင္သည္,Generic title of 'success' type pop-ups.,,,Success
web.forms.page.filling.popups.warning.title,သတိေပးခ်က္,Generic title of 'warning' type pop-ups. ,,,Warning
web.forms.page.filling.repeat.table.add.row.button,အတန္းထည့္ပါ,,,,Add row
web.forms.page.filling.repeat.table.back.level.button,ပထမအဆင့္ကိုျပန္သြားပါ,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,,Back one level
web.forms.page.filling.repeat.table.label,အက်ဥ္းခ်ဳပ္,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,,Summary
web.forms.page.filling.select1.minimal.label,အေျဖတစ္ခုေရြးပါ,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,,Select one answer
web.forms.page.filling.selectx.minimal.remove.response.button.label,တုံ႔ျပန္မွုကိုဖယ္ရွားပါ,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,,Remove response
web.forms.page.filling.text.error.numbers.appearance.invalid.input,ဝမ္းနည္းပါတယ။၊ သင္သည္ဂဏန္းမ်ား၊ အႏုတ္လကၡဏာသေကၤတမ်ား (-)၊ ေပါင္းသေကၤတမ်ား (+)၊ ေကာ္မာမ်ား သာထည့္ႏိုင္ပါသည္,"Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,"Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( )."
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,ဝမ္းနည္းပါတယ္၊ သင္သည္ဖုန္းနံပါတ္မ်ား၊ အႏုတ္လကၡဏာသေကၤတမ်ား (-)၊ အေပါင္းသေကၤတမ်ား (+)၊ အစက္ (။ )၊ hashtags (#)၊ မ်ားထည့္ႏိုင္ပါသည္,"Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,"Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( )."
web.forms.page.filling.text.error.url.appearance.blank,URL မသတ္မွတ္ပါ။,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,No url is set.
web.forms.page.filling.text.url.appearance.button,Url ကိုဖြင့္ပါ,,,,Open Url
web.forms.page.filling.thankyou.not.submitted.text,ေက်းဇူးတင္ပါတယ္! အခ်က္အလက္မရွိပါ,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,Thank you! No data was submitted.
web.forms.page.filling.thankyou.not.submitted.title,Form ကို Submit မလုပ္ရေသးပါ။,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,Form was not submitted
web.forms.page.filling.thankyou.submitted.text,ေက်းဇူးတင္ပါတယ္! သင္၏Formကိုေအာင္ျမင္စြာတင္သြင္းၿပီးပါၿပီ။,The message after you submit a form.,,,Thank you! Your form has been successfully submitted.
web.forms.page.filling.thankyou.submitted.title,Formကိုေအာင္ျမင္စြာတင္သြင္းၿပီး,The title after you submit a form.,,,Form successfully submitted
web.forms.page.filling.unknown.field.type.error.not.supported,{0}' ဒါကိုဝဘ္အင္တာေဖ့စ္တြင္မျပႏိုင္သျဖင့္စာသားအကြက္အစားအစားထိုးလိမ့္မည္။,Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,,"The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead."
web.forms.page.filling.video.select.file.button,ဗြီဒီယိုဖိုင္ကိုေ႐ြးခ်ယ္ပါ,The button label in a 'video' field type.,,,Select video file
