Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.error.traffic.jam,"ট্রাফিক জ্যাম! দুঃখিত, তবে আমরা আপনার অনুরোধটি প্রক্রিয়া করতে পারিনি। আবার চেষ্টা করুন বা আপনার পৃষ্ঠা রিফ্রেশ করুন। (বিশদ: {0})",This is the error message that can appear if the server becomes temporarily overloaded. {0} gets replaced with details about the error and must be included in your translation.,,Added in SCTO_v2.70.8.,"Traffic jam! I'm sorry, but we were unable to process your request. Please try again or refresh your page. (Details: {0})"
web.forms.page.filling.audio.select.file.button,অডিও ফাইল নির্বাচন করুন,Button for selecting an audio file.,,,Select audio file
web.forms.page.filling.banner.tooltip,{0} (সংস্করণ: {1}),Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.,,,{0} (version: {1})
web.forms.page.filling.binary.error.large.file,"আমি দুঃখিত, তবে আপনি এমন ফাইল সংযুক্ত করতে পারবেন না যা আকার {0} এমবি এর চেয়ে বেশি। চালিয়ে যাওয়ার আগে দয়া করে একটি ছোট ফাইল সংযুক্ত করুন।",Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.,,,"I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing."
web.forms.page.filling.file.current.selection.label,বর্তমান নির্বাচন,This is the text that appears immediately before the selected file name once you've made a selection in a file field.,,,Current selection
web.forms.page.filling.file.select.different.button,একটি আলাদা ফাইল নির্বাচন করুন,This is the button label once you've made a selection in a file field.,,,Select a different file
web.forms.page.filling.file.select.file.button,একটি ফাইল নির্বাচন করুন,This is the default button label in a file field before you've made a selection.,,,Select a file
web.forms.page.filling.generic.error.filetype.name.audio,অডিও,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,audio
web.forms.page.filling.generic.error.filetype.name.file,ফাইল,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,file
web.forms.page.filling.generic.error.filetype.name.image,ছবি,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,image
web.forms.page.filling.generic.error.filetype.name.video,ভিডিও,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,video
web.forms.page.filling.generic.error.invalid.file.type,"""{0}"" ফাইলটি বৈধ {1} ফাইল নয়। বৈধ এক্সটেনশনগুলির মধ্যে রয়েছে:",This is the error message that appears when you attempt to upload an invalid file type. {0} gets replaced with the filename of the file you're attempting to upload. {1} gets replaced with the expected file type in the current language. Both {0} and {1} must be included in your translation. A list of allowable file extensions (in English) are added to the end of this message.,,Added in SCTO_v2.70.8.,"The file ""{0}"" is not a valid {1} file. Valid extensions include: "
web.forms.page.filling.generic.error.invalid.file.type.executable,"আমি দুঃখিত, সুরক্ষার কারণে আপনি কোন এক্সিকিউটেবল ফাইল আপলোড করতে পারবেন না।",This is the error that appears when you try and upload an executable file.,,Added in SCTO_v2.70.8.,"I'm sorry, for security reasons, you cannot upload an executable file."
web.forms.page.filling.generic.error.invalid.file.type.mime,"আমি দুঃখিত, তবে সেই ফাইল টাইপের অনুমতি নেই ({0})।","This is the error message that appears when you attempt to upload a file that is disallowed by the defined MIME types. {0} gets replaced with the supplied invalid file type, and must be included in your translation.",,Added in SCTO_v2.70.8.,"I'm sorry, but that file type is not allowed ({0})."
web.forms.page.filling.generic.error.invalid.response,"দুঃখিত, এই প্রতিক্রিয়াটি অবৈধ!",This is the error message that appears when the response violates the constraint for the field.,,Added in SCTO_v2.70.8.,"Sorry, this response is invalid!"
web.forms.page.filling.generic.error.missing.media,"""{0}"" মিডিয়া ফাইলটি অনুপস্থিত।","This is the text that appears if a field is supposed to show a media file, but that media file is missing. {0} gets replaced with the filename of the missing media file and must be included in your translation.",,Added in SCTO_v2.70.8.,"The media file ""{0}"" is missing."
web.forms.page.filling.generic.error.required,"দুঃখিত, এই প্রতিক্রিয়া প্রয়োজন!",This is the error that appears when you try and move past a required field without entering a response.,,Added in SCTO_v2.70.8.,"Sorry, this response is required!"
web.forms.page.filling.geopoint.accuracy,সঠিকতা,This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.,,,Accuracy
web.forms.page.filling.geopoint.altitude,উচ্চতা,This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.,,,Altitude
web.forms.page.filling.geopoint.error.geolocation.not.supported,ভূ-অবস্থান এই ব্রাউজারটি দ্বারা সমর্থিত নয়।,Error message that appears when a geopoint field is shown in a browser that does not support location services.,,,Geolocation is not supported by this browser.
web.forms.page.filling.geopoint.error.not.available,অবস্থানের তথ্য নেই,Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).,,,Location information is not available.
web.forms.page.filling.geopoint.error.permission.denied,অবস্থান চিহ্নিত করতে পারছে না (অনুমতি অস্বীকৃত)। এই ওয়েবসাইটটিকে আপনার অবস্থান অ্যাক্সেস করার জন্য আপনাকে আপনার ব্রাউজারের নিরাপত্তা সেটিংস পরিবর্তন করতে হবে।,Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.,,,Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location.
web.forms.page.filling.geopoint.error.request.timeout,ব্যবহারকারীর অবস্থানের অনুরোধটি সময় শেষ হয়ে গেল।,Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.,,,The request to get user location timed out.
web.forms.page.filling.geopoint.error.unknown,একটি অজানা ত্রুটি ঘটেছে।,Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.,,,An unknown error occurred.
web.forms.page.filling.geopoint.latitude,অক্ষাংশ,This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.,,,Latitude
web.forms.page.filling.geopoint.longitude,দ্রাঘিমাংশ,This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.,,,Longitude
web.forms.page.filling.geopoint.record.location.button,অবস্থানটি সংরক্ষন করুন,The primary button label in a geo field before you've recorded a location.,,,Record location
web.forms.page.filling.geopoint.replace.location.button,অবস্থান প্রতিস্থাপন করুন,This is the button label once you've recorded a location in a geo field.,,,Replace location
web.forms.page.filling.go.to.button,এগিয়ে যান,The label for the 'go to' button.,,,Go to
web.forms.page.filling.go.to.UI.close,বন্ধ করুন,The label for the red button in the 'go to' screen used to exit the 'go to' screen.,,,Close
web.forms.page.filling.go.to.UI.go.there,সেখানে যান,The label for the button next to each field in the 'go to' screen.,,,Go there
web.forms.page.filling.go.to.UI.go.to.end,শেষে যান,The button label in the 'go to' screen for progressing to the end of the form.,,,Go to end
web.forms.page.filling.go.to.UI.go.to.start,প্রথমে যান,The button label in the 'go to' screen for returning to the beginning of the form.,,,Go to start
web.forms.page.filling.go.to.UI.go.up,উপরে যান,The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.,,,Go up
web.forms.page.filling.go.to.UI.resume,পুনরায় গ্রহণ করুন,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,Resume
web.forms.page.filling.image.annotate.hint,অনুগ্রহ করে একটি টীকাযুক্ত ছবি আপলোড করুন।,This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form.,,,Please upload an annotated image.
web.forms.page.filling.image.draw.hint,একটি অংকন করা ছবি আপলোড করুন।,This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form.,,,Please upload a drawn image.
web.forms.page.filling.image.select.file.button,ছবি নির্বাচন করুন,Button label in an image field for selecting an existing image.,,,Select image
web.forms.page.filling.image.signature.hint,আপনার স্বাক্ষর সহ একটি ফাইল আপলোড করুন।,This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form.,,,Please upload a file with your signature.
web.forms.page.filling.image.take.picture.button,ছবি তুলুন,Button label in an image field for taking a new picture.,,,Take picture
web.forms.page.filling.input.field.placeholder.label,এখানে উত্তর লিখুন...,"This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,,Your answer here...
web.forms.page.filling.integer.error.not.integer,শুধুমাত্র সংখ্যা লিখুন।,The error message when you try to enter a non-integer into an integer field.,,,Please enter an integer only.
web.forms.page.filling.intro.text.line1,"আপনি কোনও ফর্মের শুরুতে রয়েছেন। শুরু করার জন্য প্রস্তুত হলে, দয়া করে নীচে বা ডানদিকে {0} বোতামটি ক্লিক করুন।",Default message that appears at the beginning of a form.,,,"You are at the start of a form. When ready to begin, please click the {0} button below or to the right."
web.forms.page.filling.intro.text.line2,"শেষে, আপনার প্রতিক্রিয়া জমা দেওয়ার সুযোগ পাবেন।",Default message that appears at the beginning of a form.,,,"At the end, you will have the opportunity to submit your responses."
web.forms.page.filling.last.screen.hint,এই ফর্মটি বর্তমানে পূরণ করা হিসাবে জমা দেওয়ার জন্য নীচের বোতামটিতে ক্লিক করুন।,This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.,,,Click the button below to submit this form as it is currently filled out.
web.forms.page.filling.last.screen.mark.finalized.checkbox,চূড়ান্ত ফর্ম হিসাবে চিহ্নিত করুন,The checkbox label when a logged-in user reaches the end of a form.,,,Mark form as finalized
web.forms.page.filling.last.screen.name.label,এই ফর্মটির নাম দিন,The input box label when a logged-in user reaches the end of a form.,,,Name this form
web.forms.page.filling.last.screen.save.exit.button,ফর্ম সংরক্ষণ করুন এবং বন্ধ করুন,The button label for logged-in users when they reach the end of a form.,,,Save Form and Exit
web.forms.page.filling.last.screen.submit.button,ফর্ম জমা দিন,The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form.,,,Submit Form
web.forms.page.filling.last.screen.title,আপনি {0} এর শেষে আছেন,This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.,,,You are at the end of {0}
web.forms.page.filling.login.panel.loggedin.as,আপনি বর্তমানে লগ ইন করে আছেন,"This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,,You are currently logged in as
web.forms.page.filling.login.panel.login.and.continue.btn,প্রবেশকরুন এবং সামনে যান,The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,Log in and continue
web.forms.page.filling.login.panel.login.btn,প্রবেশ করুন,,,,Log in
web.forms.page.filling.login.panel.logout.btn,প্রস্থান করুন,The button label in the user dropdown menu in the top right for logged-in users.,,,Log out
web.forms.page.filling.login.panel.not.loggedin.long,আপনি বর্তমানে লগইন অবস্থায় নেই,This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,You are not currently logged in
web.forms.page.filling.login.panel.not.loggedin.short,লগ ইন করা হয়নি,This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,Not logged in
web.forms.page.filling.menu.add.comment,মন্তব্য লিখুন,"If your form contains a comments field, this is the menu option label to leave a comment. ",,,Add comment
web.forms.page.filling.menu.appearance,উপস্থিতি,This is the dropdown menu label to change the appearance style (only available to logged-in users).,,,Appearance
web.forms.page.filling.menu.appearance.default,ডিফল্ট,Label in the Appearance dropdown menu for the 'default' appearance style.,,,Default
web.forms.page.filling.menu.appearance.small,ছোট,Label in the Appearance dropdown menu for the 'small' appearance style.,,,Small
web.forms.page.filling.menu.appearance.small.wide,ছোট প্রশস্ত,Label in the Appearance dropdown menu for the 'small wide' appearance style.,,,Small wide
web.forms.page.filling.menu.appearance.wide,প্রশস্ত,Label in the Appearance dropdown menu for the 'wide' appearance style.,,,Wide
web.forms.page.filling.menu.clear.responses,উত্তরগুলো মুছুন,The option in the 'options' dropdown menu to remove your response from the current field.,,,Clear responses
web.forms.page.filling.menu.exit.to.main.menu,প্রধান মেনুতে প্রস্থান করুন,Logged-in users will see this option in the 'options' dropdown menu.,,,Exit to main menu
web.forms.page.filling.menu.options,অপশন,The label for the 'options' dropdown menu.,,,Options
web.forms.page.filling.menu.remove.current.repeat.instance,বর্তমান পুনরাবৃত্তি উদাহরণ সরান,"In a repeat group, this option will be available in the 'options' dropdown menu.",,,Remove current repeat instance
web.forms.page.filling.menu.save.form,ফর্ম সংরক্ষণ করুন,Logged-in users will see this option in the toolbar.,,,Save form
web.forms.page.filling.menu.skip.to.next,বাদ দিয়ে পরবর্তীতে যান,Logged-in users will see this option in the 'options' dropdown menu.,,,Skip to next
web.forms.page.filling.menu.start.over,নতুন করে শুরু করুন,This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.,,,Start over
web.forms.page.filling.menu.validate.form,যাচাইকৃত ফর্ম,Logged-in users will see this option in the 'options' dropdown menu.,,,Validate form
web.forms.page.filling.nav.end,শেষে যান,The tooltip that appears when you hover over the circle 'go to end' button.,,,Go to end
web.forms.page.filling.nav.next,পরবর্তী,The tooltip that appears when you hover over the circle 'next' button.,,,Next
web.forms.page.filling.nav.previous,আগে,The tooltip that appears when you hover over the circle  'previous' button.,,,Previous
web.forms.page.filling.nav.start,প্রথমে যান,The tooltip that appears when you hover over the circle 'go to start' button.,,,Go to start
web.forms.page.filling.next.button,পরবর্তী,The button label for the blue 'next' button at the bottom right.,,,Next
web.forms.page.filling.numerical.error.not.numeric,শুধুমাত্র একটি সংখ্যা লিখুন।,Error message that appears when the user is prompted for a decimal value and enters something invalid.,,,Please enter a number only.
web.forms.page.filling.popups.add.comment.intro,নীচের ক্ষেত্রে আপনার মন্তব্য টাইপ করুন:,This is the field label in the pop-up to add a comment.,,,Please type your comment in the field below:
web.forms.page.filling.popups.add.comment.save.button,মন্তব্য সংরক্ষণ করুন,This is the button label in the pop-up to save a comment.,,,Save comment
web.forms.page.filling.popups.add.comment.title,মন্তব্য লিখুন,This is the title of the pop-up to add a comment.,,,Add comment
web.forms.page.filling.popups.add.new.group.message,"একটি নতুন ""{0}"" গ্রুপ যুক্ত করবেন?",{0} gets replaced with the repeat group label and must be included in your translation.,,,"Add a new ""{0}"" group?"
web.forms.page.filling.popups.add.new.group.negative.button,যোগ করবেন না,The button label to not add a new group in the 'add new group' pop-up for repeat groups.,,,Do not add
web.forms.page.filling.popups.add.new.group.positive.button,গ্রুপ যুক্ত করুন,The button label to add a new group in the 'add new group' pop-up for repeat groups.,,,Add group
web.forms.page.filling.popups.add.new.group.title,নতুন গ্রুপ যুক্ত করবেন?,The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).,,,Add new group?
web.forms.page.filling.popups.add.one.more.group.message,"অন্য ""{0}"" গ্রুপ যুক্ত করবেন?",This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.,,,"Add another ""{0}"" group?"
web.forms.page.filling.popups.add.one.more.group.title,আরও একটি গ্রুপ যুক্ত করবেন?,The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.,,,Add one more group?
web.forms.page.filling.popups.cancel.button,বাতিল,Generic button label for all 'cancel' buttons in pop-ups.,,,Cancel
web.forms.page.filling.popups.capture.media.done.button,সম্পন্ন,The button label to save the current snapshot in the 'capture media' pop-up.,,,Done
web.forms.page.filling.popups.capture.media.take.button,একটি স্থিরচিত্র গ্রহন করুন,The button label to take a picture in the 'capture media' pop-up.,,,Take snapshot
web.forms.page.filling.popups.capture.media.title,মিডিয়া ক্যাপচার করুন,The title of the 'capture media' pop-up.,,,Capture media
web.forms.page.filling.popups.clear.responses.prompt.button,সমস্ত প্রতিক্রিয়া সাফ করুন,The button label to clear all responses in the confirmation pop-up when you attempt to clear responses.,,,Clear all responses
web.forms.page.filling.popups.clear.responses.prompt.message,বর্তমান পেইজএ সমস্ত প্রতিক্রিয়া সাফ করবেন?,The message in the confirmation pop-up when you attempt to clear responses.,,,Clear all responses on this current page?
web.forms.page.filling.popups.clear.responses.prompt.title,নিশ্চিত করুন,The title of the confirmation pop-up when you attempt to clear responses.,,,Confirm
web.forms.page.filling.popups.close.button,বন্ধ করুন,Generic button label for all 'close' buttons in pop-ups.,,,Close
web.forms.page.filling.popups.confirm.discard.prompt.button,"হ্যা, আমি নিশ্চিত!",This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,"Yes, I'm sure!"
web.forms.page.filling.popups.confirm.discard.prompt.message,এটি আপনার প্রবেশ করা যে কোনও নতুন ডেটা বাতিল করবে। আপনি কি নিশ্চিত?,This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,This will discard any new data that you have entered. Are you sure?
web.forms.page.filling.popups.confirm.discard.prompt.title,প্রস্থান নিশ্চিত করুন,This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,Confirm exit
web.forms.page.filling.popups.confirm.title,নিশ্চিত করুন,Generic pop-up title for confirmation pop-ups.,,,Confirm
web.forms.page.filling.popups.error.title,ত্রুটি,Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.,,,Error
web.forms.page.filling.popups.exit.form.prompt.message,"আপনি কি প্রস্থান করার আগে নিজের ফর্মটি সংরক্ষণ করতে চান, বা আপনি যে সমস্ত পরিবর্তন করেছেন তা বাতিল করতে চান?",This is the message in the pop-up when logged-in users attempt to exit to main menu.,,,"Do you want to save your form before exiting, or discard all changes that you've made?"
web.forms.page.filling.popups.exit.form.prompt.negative.button,পরিবর্তন বাতিল,This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.,,,Discard Changes
web.forms.page.filling.popups.exit.form.prompt.positive.button,পরিবর্তনগুলোর সংরক্ষন,This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.,,,Save Changes
web.forms.page.filling.popups.exit.form.prompt.title,প্রস্থান নিশ্চিত করুন,This is the title of the pop-up when logged-in users attempt to exit to main menu.,,,Confirm exit
web.forms.page.filling.popups.form.saved.confirmation.message,ফর্মটি সফলভাবে সংরক্ষিত হয়েছে!,This is the message in the confirmation pop-up when a logged-in user saves their form successfully.,,,Form successfully saved!
web.forms.page.filling.popups.form.validated.confirmation.message,বৈধতা সফল!,This is the message in the confirmation pop-up when a logged-in user validates their form successfully.,,,Validation succeeded!
web.forms.page.filling.popups.form.validated.go.to.end.button,শেষে যান,This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.,,,Go to end
web.forms.page.filling.popups.no.cookies.line1,"আমরা সনাক্ত করেছি যে আপনি এই ওয়েবসাইটটির জন্য ""কুকি"" সমর্থন অক্ষম করেছেন। আপনি এটি করতে পারেন, তবে দয়া করে সচেতন হন যে, আপনার বেনামে পরিচয় সনাক্ত করার জন্য কুকিজ ব্যতীত আপনার অধিবেশনটি কোনও কারণে বাধা দিলে আপনি আংশিকভাবে পূর্ণ ফর্মটি পুনরায় শুরু করতে পারবেন না।",The warning message that appears when a user has disabled cookies.,,,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason."
web.forms.page.filling.popups.no.cookies.line2,গ্রুপ অপসারণ নিশ্চিত করুন,The warning message that appears when a user has disabled cookies.,,,"Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session."
web.forms.page.filling.popups.remove.instance.prompt.button,হ্যাঁ এটা মুছুন,This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,,"Yes, remove it"
web.forms.page.filling.popups.remove.instance.prompt.message,গ্রুপ অপসারণ নিশ্চিত করুন,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,,Confirm group removal
web.forms.page.filling.popups.remove.instance.prompt.title,"গ্রুপ ""{0}"" এবং এর উপ-গ্রুপগুলির সমস্ত কিছু সরাবেন?",This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,,"Remove group ""{0}"" and all of its sub-groups?"
web.forms.page.filling.popups.resume.prompt.message,"আপনি ইতিমধ্যে এই ফর্মটি পূরণ শুরু করেছেন এবং সর্বশেষে এটি {0} এ আপডেট করেছেন} আপনি যেখান থেকে ছেড়ে গিয়েছিলেন সেখান থেকে আবার শুরু করুন, বা সেই সংস্করণটি বাতিল করে আবার শুরু করবেন? (আপনি যদি আবার শুরু করার সিদ্ধান্ত নেন তবে পুরানো সংস্করণটি বাতিল হয়ে যাবে এবং কোনও পূর্বাবস্থা থাকবে না))",This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)"
web.forms.page.filling.popups.resume.prompt.negative.button,বাতিল করা,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Discard
web.forms.page.filling.popups.resume.prompt.positive.button,পুনরায় গ্রহণ করুন,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Resume
web.forms.page.filling.popups.resume.prompt.title,অ-সমাপ্ত ফর্মটি পাওয়া গেছে,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Un-finished form found
web.forms.page.filling.popups.resume.different.caseid.negative.button,পুনরায় শুরু করুন {0},The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,,Resume {0}
web.forms.page.filling.popups.resume.different.caseid.positive.button,{0} শুরু করুন,The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,,Start {0}
web.forms.page.filling.popups.resume.different.caseid.title,সতর্কতা,The title of the pop-up message prompting which case ID to use.,,,Warning
web.forms.page.filling.popups.start.over.prompt.button,পরিবর্তন বাতিল,This is the button label to discard changes in the pop-up when you attempt to start over.,,,Discard Changes
web.forms.page.filling.popups.start.over.prompt.message,সমস্ত পরিবর্তন বাতিল করুন এবং একটি ফাঁকা ফর্ম দিয়ে শুরু করবেন?,This is the message in the pop-up when you attempt to start over.,,,Discard all changes and start over with a blank form?
web.forms.page.filling.popups.start.over.prompt.title,প্রস্থান নিশ্চিত করুন,This is the title of the pop-up when you attempt to start over.,,,Confirm exit
web.forms.page.filling.popups.success.title,সফল,Generic title of 'success' type pop-ups.,,,Success
web.forms.page.filling.popups.warning.title,সতর্কতা,Generic title of 'warning' type pop-ups.,,,Warning
web.forms.page.filling.repeat.table.add.row.button,সারি যোগ করুন,,,,Add row
web.forms.page.filling.repeat.table.back.level.button,এক স্তর ফিরে যান,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,,Back one level
web.forms.page.filling.repeat.table.label,সারসংক্ষেপ,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,,Summary
web.forms.page.filling.select1.minimal.label,একটি উত্তর নির্বাচন করুন,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,,Select one answer
web.forms.page.filling.selectx.minimal.remove.response.button.label,প্রতিক্রিয়া সরান,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,,Remove response
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"দুঃখিত, আপনি কেবল সংখ্যাসূচক সংখ্যা, বিয়োগ চিহ্ন (-), এবং যোগ চিহ্ন (+), কমা (,), বিন্দু (.) এবং স্পেস ( ) লিখতে পারবেন।","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,"Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( )."
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"দুঃখিত, আপনি কেবল ফোন ডিজিট, বিয়োগ চিহ্ন (-), যোগ চিহ্ন (+), বিন্দু (.), হ্যাশট্যাগ (#), তারকাচিহ্ন (*) এবং স্পেস ( ) লিখতে পারবেন।","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,"Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( )."
web.forms.page.filling.text.error.url.appearance.blank,কোনও ইউআরএল সেট করা নেই।,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,No url is set.
web.forms.page.filling.text.url.appearance.button,ইউআরএল খুলুন,,,,Open Url
web.forms.page.filling.thankyou.not.submitted.text,ধন্যবাদ! কোনও তথ্য জমা দেওয়া হয়নি।,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,Thank you! No data was submitted.
web.forms.page.filling.thankyou.not.submitted.title,ফর্ম জমা দেওয়া হয়নি,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,Form was not submitted
web.forms.page.filling.thankyou.submitted.text,ধন্যবাদ! আপনার ফর্মটি সফলভাবে জমা দেওয়া হয়েছে।,The message after you submit a form.,,,Thank you! Your form has been successfully submitted.
web.forms.page.filling.thankyou.submitted.title,ফর্মটি সফলভাবে জমা দেওয়া হয়েছে,The title after you submit a form.,,,Form successfully submitted
web.forms.page.filling.unknown.field.type.error.not.supported,"ফিল্ডের ধরণ '{0}' ওয়েব ইন্টারফেসে প্রদর্শিত হতে পারে না, সুতরাং পরিবর্তে একটি টেক্সট ফিল্ড ব্যবহৃত হবে।",Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,,"The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead."
web.forms.page.filling.video.select.file.button,ভিডিও ফাইল নির্বাচন করুন,The button label in a 'video' field type.,,,Select video file
web.forms.page.forms.header,পূরণ করার জন্য একটি ফাঁকা ফর্ম চয়ন করুন:,The heading text at the top of the 'fill blank form' page.,,,Choose a blank form to fill out:
web.forms.page.forms.title,ফাঁকা ফর্ম পূরণ করুন,The page title of the 'fill blank form' page.,,,Fill blank form
web.forms.page.main.download.app.button,অ্যাপ্লিকেশন ডাউনলোড করুন,The button label on the main menu page.,,,Download app
web.forms.page.main.edit.saved.form.button,সংরক্ষিত ফর্মটি সম্পাদনা করুন,The button label on the main menu page (only available to logged-in users).,,,Edit saved form
