Term,Translation,Context,Reference,Comment,Reference translation,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.UI.go.to.start,Перейти к началу,The button label in the 'go to' screen for returning to the beginning of the form.,,,Go to start,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.UI.go.up,Перейти наверх,The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.,,,Go up,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.UI.resume,Продолжить,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,Resume,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.image.annotate.hint,"Пожалуйста, загрузите аннотированный изображение.",This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form.,,,Please upload an annotated image.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.image.draw.hint,"Пожалуйста, загрузите нарисованное изображение.",This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form.,,,Please upload a drawn image.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.image.select.file.button,Выберите изображение,Button label in an image field for selecting an existing image.,,,Select image,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.image.signature.hint,"Пожалуйста, загрузите файл с вашей подписью.",This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form.,,,Please upload a file with your signature.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.image.take.picture.button,Сделать фотографию,Button label in an image field for taking a new picture.,,,Take picture,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.input.field.placeholder.label,Ваш ответ:,"This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,,Your answer here...,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.integer.error.not.integer,"Пожалуйста, введите целое число.",The error message when you try to enter a non-integer into an integer field.,,,Please enter an integer only.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.intro.text.line1,"Вы находитесь в начале формы. Когда вы будете готовы начать, нажмите кнопку {0} ниже или справа.",Default message that appears at the beginning of a form.,,,"You are at the start of a form. When ready to begin, please click the {0} button below or to the right.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.intro.text.line2,В конце у вас будет возможность отправить Ваши ответы.,Default message that appears at the beginning of a form.,,,"At the end, you will have the opportunity to submit your responses.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.last.screen.hint,"Чтобы отправить эту форму в текущем виде, нажмите на кнопку ниже.",This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.,,,Click the button below to submit this form as it is currently filled out.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.last.screen.mark.finalized.checkbox,Отметить форму как завершенную,The checkbox label when a logged-in user reaches the end of a form.,,,Mark form as finalized,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.last.screen.name.label,Назвать форму,The input box label when a logged-in user reaches the end of a form.,,,Name this form,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.last.screen.save.exit.button,Сохранить форму и выйти,The button label for logged-in users when they reach the end of a form.,,,Save Form and Exit,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.last.screen.submit.button,Отправить форму,The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form.,,,Submit Form,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.last.screen.title,Вы находитесь в конце {0},This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.,,,You are at the end of {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.login.panel.loggedin.as,Вы вошли в систему как,"This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,,You are currently logged in as,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.login.panel.login.and.continue.btn,Войти и продолжить,The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,Log in and continue,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.login.panel.login.btn,Войти,,,,Log in,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.login.panel.logout.btn,Выйти,The button label in the user dropdown menu in the top right for logged-in users.,,,Log out,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.login.panel.not.loggedin.long,На данным моментом вы не являетесь в системе,This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,You are not currently logged in,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.login.panel.not.loggedin.short,Вы не авторизован,This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,Not logged in,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.add.comment,Добавить комментарий,"If your form contains a comments field, this is the menu option label to leave a comment. ",,,Add comment,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.appearance,Вид,This is the dropdown menu label to change the appearance style (only available to logged-in users).,,,Appearance,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.appearance.default,Стандартный,Label in the Appearance dropdown menu for the 'default' appearance style.,,,Default,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.appearance.small,Маленький,Label in the Appearance dropdown menu for the 'small' appearance style.,,,Small,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.appearance.small.wide,Маленько-широкий,Label in the Appearance dropdown menu for the 'small wide' appearance style.,,,Small wide,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.appearance.wide,Широкий,Label in the Appearance dropdown menu for the 'wide' appearance style.,,,Wide,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.clear.responses,Очистить ответы,The option in the 'options' dropdown menu to remove your response from the current field.,,,Clear responses,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.exit.to.main.menu,Выйти на главное меню,Logged-in users will see this option in the 'options' dropdown menu.,,,Exit to main menu,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.options,Параметры,The label for the 'options' dropdown menu.,,,Options,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.remove.current.repeat.instance,Удалить текущий повторяющийся экземпляр,"In a repeat group, this option will be available in the 'options' dropdown menu.",,,Remove current repeat instance,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.save.form,Сохранить форму,Logged-in users will see this option in the toolbar.,,,Save form,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.skip.to.next,Пропустить и перейти к следующей,Logged-in users will see this option in the 'options' dropdown menu.,,,Skip to next,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.start.over,Начать сначала,This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.,,,Start over,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.menu.validate.form,Подтвердить форму,Logged-in users will see this option in the 'options' dropdown menu.,,,Validate form,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.nav.end,Перейти к концу,The tooltip that appears when you hover over the circle 'go to end' button.,,,Go to end,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.nav.next,Далее ,The tooltip that appears when you hover over the circle 'next' button.,,,Next,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.nav.previous,Назад,The tooltip that appears when you hover over the circle  'previous' button.,,,Previous,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.nav.start,Перейти к началу,The tooltip that appears when you hover over the circle 'go to start' button.,,,Go to start,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.next.button,Далее ,The button label for the blue 'next' button at the bottom right.,,,Next,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.numerical.error.not.numeric,"Пожалуйста, введите только номер.",Error message that appears when the user is prompted for a decimal value and enters something invalid.,,,Please enter a number only.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.comment.intro,"Пожалуйста, введите ваш комментарий в ниже указанным поле:",This is the field label in the pop-up to add a comment.,,,Please type your comment in the field below:,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.comment.save.button,Сохранить комментарий,This is the button label in the pop-up to save a comment.,,,Save comment,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.comment.title,Добавить комментарий,This is the title of the pop-up to add a comment.,,,Add comment,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.new.group.message,Добавить новую «{0}» группы?,{0} gets replaced with the repeat group label and must be included in your translation.,,,"Add a new ""{0}"" group?",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.new.group.negative.button,Отменить,The button label to not add a new group in the 'add new group' pop-up for repeat groups.,,,Do not add,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.new.group.positive.button,Добавить группу,The button label to add a new group in the 'add new group' pop-up for repeat groups.,,,Add group,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.new.group.title,Добавить новую группу?,The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).,,,Add new group?,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.one.more.group.message,"Добавить другую ""{0}"" группы?",This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.,,,"Add another ""{0}"" group?",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.add.one.more.group.title,Добавить еще одну группу?,The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.,,,Add one more group?,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.cancel.button,Отменить,Generic button label for all 'cancel' buttons in pop-ups.,,,Cancel,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.capture.media.done.button,Выполнено,The button label to save the current snapshot in the 'capture media' pop-up.,,,Done,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.capture.media.take.button,Сделать снимок,The button label to take a picture in the 'capture media' pop-up.,,,Take snapshot,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.capture.media.title,Захватить медиа,The title of the 'capture media' pop-up.,,,Capture media,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.clear.responses.prompt.button,Очистить все ответы,The button label to clear all responses in the confirmation pop-up when you attempt to clear responses.,,,Clear all responses,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.clear.responses.prompt.message,Удалить все ответы на данной странице?,The message in the confirmation pop-up when you attempt to clear responses.,,,Clear all responses on this current page?,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.clear.responses.prompt.title,Подтвердить,The title of the confirmation pop-up when you attempt to clear responses.,,,Confirm,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.close.button,Закрыть,Generic button label for all 'close' buttons in pop-ups.,,,Close,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.confirm.discard.prompt.button,"Да, я уверен!",This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,"Yes, I'm sure!",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.confirm.discard.prompt.message,Это действие приведет к отмене всех нововведенных вами данных. Вы уверены?,This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,This will discard any new data that you have entered. Are you sure?,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.confirm.discard.prompt.title,Подтвердить выход,This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,Confirm exit,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.confirm.title,Подтвердить,Generic pop-up title for confirmation pop-ups.,,,Confirm,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.error.title,Ошибка,Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.,,,Error,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.exit.form.prompt.message,Перед выходом вы хотите сохранить форму или удалить все изменения?,This is the message in the pop-up when logged-in users attempt to exit to main menu.,,,"Do you want to save your form before exiting, or discard all changes that you've made?",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.exit.form.prompt.negative.button,Отбросить изменения,This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.,,,Discard Changes,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.exit.form.prompt.positive.button,Сохранить изменения,This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.,,,Save Changes,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.exit.form.prompt.title,Подтвердить выход,This is the title of the pop-up when logged-in users attempt to exit to main menu.,,,Confirm exit,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.form.saved.confirmation.message,Форма успешно сохранена!,This is the message in the confirmation pop-up when a logged-in user saves their form successfully.,,,Form successfully saved!,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.form.validated.confirmation.message,Проверка прошла успешно!,This is the message in the confirmation pop-up when a logged-in user validates their form successfully.,,,Validation succeeded!,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.form.validated.go.to.end.button,Перейти к концу,This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.,,,Go to end,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.no.cookies.line1,"Мы обнаружили, что вы отключили поддержку cookie-файлов для этого сайта. Имейте в виду, что если ваш сеанс будет по какой-либо причине прерван, вы не сможете возобновить частично заполненную форму для отслеживания вашей анонимной личности.",The warning message that appears when a user has disabled cookies.,,,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.no.cookies.line2,"Кроме того, никому не сообщайте ваш URL-адрес, который вы используете для заполнения этого опроса. В противном случае, другой человек может продолжить ваш сеанс.",The warning message that appears when a user has disabled cookies.,,,"Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.remove.instance.prompt.button,"Да, удалить",This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,,"Yes, remove it",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.remove.instance.prompt.message,Подтвердите удаление группы,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,,Confirm group removal,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.remove.instance.prompt.title,Удалить группу «{0}» и все ее подгруппы?,This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,,"Remove group ""{0}"" and all of its sub-groups?",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.message,"Вы уже начали заполнять эту форму и последний раз обновляли ее {0}. Возобновить с того места, где вы остановились, или отказаться от этой версии и начать заново? (Если вы решите начать заново, старая версия будет удалена безвозвратно.)",This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.negative.button,Отбросить,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Discard,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.positive.button,Продолжить,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Resume,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.title,Найдена незаконченная форма,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Un-finished form found,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.negative.button,Продолжить {0},The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,,Resume {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.positive.button,Запустить {0},The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,,Start {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.title,Предупреждение,The title of the pop-up message prompting which case ID to use.,,,Warning,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.start.over.prompt.button,Отбросить изменения,This is the button label to discard changes in the pop-up when you attempt to start over.,,,Discard Changes,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.start.over.prompt.message,Отбросить все изменения и начать с пустой формы?,This is the message in the pop-up when you attempt to start over.,,,Discard all changes and start over with a blank form?,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.start.over.prompt.title,Подтвердить выход,This is the title of the pop-up when you attempt to start over.,,,Confirm exit,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.success.title,Успех,Generic title of 'success' type pop-ups.,,,Success,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.warning.title,Предупреждение,Generic title of 'warning' type pop-ups.,,,Warning,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.repeat.table.add.row.button,Добавить ряд,,,,Add row,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.repeat.table.back.level.button,Назад один уровень,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,,Back one level,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.repeat.table.label,Резюме,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,,Summary,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.select1.minimal.label,Выберите один ответ,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,,Select one answer,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,Удалить ответ,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,,Remove response,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Извините, но вы можете вводить только числовые цифры, символы минуса (-), символы плюса (+), запятые (,), точки (.) и пробелы ().","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,"Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( ).",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Извините, но вы можете вводить только цифры телефона, символы минуса (-), символы плюса (+), точки (.), Хэштеги (#), звездочки (*) и пробелы ().","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,"Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( ).",,,,,,,,,,,,,,,,,,,,
